brain_cancer	liver_cancer	normal
Dens_GLMNET_model_brain_cancer_1	93.2708459468278	22.7403489499682	10.4408588714278
Dens_GLMNET_model_liver_cancer_1	11.1959381469436	74.6425120136154	3.35693574124008
Dens_GLMNET_model_normal_1	8.60302728307754	12.8292396387915	81.5219050473007
Dens_GLMNET_model_brain_cancer_2	84.3874913371852	17.4945853052253	6.80326790652821
Dens_GLMNET_model_liver_cancer_2	7.59475880835866	73.89068883979	6.20629190599964
Dens_GLMNET_model_normal_2	10.54790877087	12.8047424582697	83.4422893545715
Dens_GLMNET_model_brain_cancer_3	87.8223619422722	21.4104948202448	6.32222899659572
Dens_GLMNET_model_liver_cancer_3	9.2187273052874	70.0961391326244	0.787773701905272
Dens_GLMNET_model_normal_3	2.68173787441745	12.3293569469484	75.1007329467975
Dens_GLMNET_model_brain_cancer_4	94.4458329309489	20.8381518699205	13.5180429355967
Dens_GLMNET_model_liver_cancer_4	9.56651835696666	71.9790987543165	2.32294227191818
Dens_GLMNET_model_normal_4	14.548501754307	9.76033054424458	84.3984704239833
Dens_GLMNET_model_brain_cancer_5	87.9868768291983	22.0407443578087	5.85649434595791
Dens_GLMNET_model_liver_cancer_5	11.503332305973	76.2379840334418	4.64501360203713
Dens_GLMNET_model_normal_5	6.89343786284843	13.6212010549397	80.6042770432198
Dens_GLMNET_model_brain_cancer_6	92.3388118702551	25.9329115496457	6.31626219517775
Dens_GLMNET_model_liver_cancer_6	12.3102494180605	75.907633431079	3.50774588758683
Dens_GLMNET_model_normal_6	5.37093643929802	15.6022267029665	81.0628012676962
Dens_GLMNET_model_brain_cancer_7	92.2458273306426	21.2451058916548	10.9110833135561
Dens_GLMNET_model_liver_cancer_7	10.3126816959102	72.4312305112591	2.02891068991716
Dens_GLMNET_model_normal_7	7.14482543384296	17.099472265319	84.3339358245936
Dens_GLMNET_model_brain_cancer_8	83.3359606864259	16.018021028168	7.22830153282625
Dens_GLMNET_model_liver_cancer_8	7.6631891273283	67.75282725276	0
Dens_GLMNET_model_normal_8	4.01834443819028	13.1667040544347	77.2746866180567
Dens_GLMNET_model_brain_cancer_9	90.5427655761536	18.8581245047884	11.5950029459335
Dens_GLMNET_model_liver_cancer_9	9.64098066815948	72.7110255301281	2.98040673653693
Dens_GLMNET_model_normal_9	7.83964766694024	20.7741992708083	88.7034850631802
Dens_GLMNET_model_brain_cancer_10	91.1029092654025	23.5988088342002	7.41446230577063
Dens_GLMNET_model_liver_cancer_10	10.7975557914179	73.0661903801114	2.17899646326184
Dens_GLMNET_model_normal_10	7.9361370443699	14.4946655525448	82.5204407223464
Bias_GLMNET_model_brain_cancer_1	97.0824300978197	13.96797894253	23.024813029858
Bias_GLMNET_model_liver_cancer_1	10.2771484959059	85.1210720238139	14.7542854024763
Bias_GLMNET_model_normal_1	20.1837826026438	17.7523630900615	98.0257838181369
Bias_GLMNET_model_brain_cancer_2	90.737175034987	17.0568937016358	13.5906432079195
Bias_GLMNET_model_liver_cancer_2	7.80330952784267	85.5611752362031	17.6682275829288
Bias_GLMNET_model_normal_2	16.8399580421092	16.8195993650538	93.7491955325947
Bias_GLMNET_model_brain_cancer_3	97.9985753387621	15.1817347854952	22.7272024278353
Bias_GLMNET_model_liver_cancer_3	10.825081525229	84.0275067268353	13.1127870761746
Bias_GLMNET_model_normal_3	21.0692775317562	16.2101648502403	97.3690805074282
Bias_GLMNET_model_brain_cancer_4	99.4138864342416	14.0296281512559	25.294620157554
Bias_GLMNET_model_liver_cancer_4	8.20003864817889	83.3658122493052	15.0761354756946
Bias_GLMNET_model_normal_4	24.3882004461517	14.7146385609649	99.1924771325483
Bias_GLMNET_model_brain_cancer_5	91.4196253027928	16.2670131411861	15.0629740361749
Bias_GLMNET_model_liver_cancer_5	9.64444346023887	86.230050773579	16.4959691879084
Bias_GLMNET_model_normal_5	18.4899365688125	15.5997487594978	94.179323453742
Bias_GLMNET_model_brain_cancer_6	90.4921069070608	14.0987362220521	16.303732559577
Bias_GLMNET_model_liver_cancer_6	10.0064442207351	85.112502018933	15.0164196727662
Bias_GLMNET_model_normal_6	14.5514477923097	17.7390749275736	92.380160845315
Bias_GLMNET_model_brain_cancer_7	97.3555939510947	15.4659771417372	21.7999786839259
Bias_GLMNET_model_liver_cancer_7	10.3215266371305	87.1338671644133	16.7227024018511
Bias_GLMNET_model_normal_7	21.705490684499	17.5226720469407	99.3178008568713
Bias_GLMNET_model_brain_cancer_8	86.2384341844747	11.1323995532851	15.0163965057579
Bias_GLMNET_model_liver_cancer_8	7.2496820161465	81.7189705244143	14.3796503828361
Bias_GLMNET_model_normal_8	14.9145519665581	15.4782390293167	90.4824291213065
Bias_GLMNET_model_brain_cancer_9	93.7183793298084	13.9655989060316	19.6631422983451
Bias_GLMNET_model_liver_cancer_9	4.8388839904694	82.4229527943345	17.4944306784334
Bias_GLMNET_model_normal_9	23.2083703123333	16.701991562235	100
Bias_GLMNET_model_brain_cancer_10	93.4748661412966	15.6051987173267	17.7800292985382
Bias_GLMNET_model_liver_cancer_10	9.94432151686374	84.9269750364401	14.8930153941447
Bias_GLMNET_model_normal_10	18.1259673987444	16.3724671152108	94.5880726393868
