ZH487_brain_cancer_4731_5mC	ZH492_brain_cancer_3926_5mC	ZH544_brain_cancer_5255_5mC	ZH478_brain_cancer_4896_5mC	Merge087_6555_plasma	ZH543_brain_cancer_5220_5mC	ZH523_brain_cancer_3661_5mC	ZH314_brain_cancer_plasma_5mC	ZH479_brain_cancer_6421_5mC	ZH480_brain_cancer_6440_5mC	ZH481_brain_cancer_6859_5mC	ZH317_brain_cancer_plasma_5mC	ZH501_brain_cancer_5182_5mC	ZH490_brain_cancer_5065_5mC	ZH315_brain_cancer_plasma_5mC	ZH500_brain_cancer_5148_5mC	ZH484_brain_cancer_4457_5mC	ZH474_brain_cancer_3880_5mC	ZH499_brain_cancer_5101_5mC	ZH452_brain_cancer_6592	ZH486_brain_cancer_4730_5mC	ZH513_brain_cancer_4337_5mC	ZH511_brain_cancer_4633_5mC	ZH453_brain_cancer_6860	ZH313_brain_cancer_plasma_5mC	ZH271_brain_cancer_plasma_5mC	ZH494_brain_cancer_4142_5mC	ZH318_brain_cancer_plasma_5mC	ZH450_brain_cancer_6539	ZH497_brain_cancer_5131_5mC	Merge046_3542_plasma_5mC	ZH154_brain_cancer_plasma_5mC	ZH498_brain_cancer_5100_5mC	ZH496_brain_cancer_4181_5mC	Merge086_6870_plasma	Merge043_5709_plasma_5mC	ZH312_brain_cancer_plasma_5mC	ZH454_brain_cancer_3380	Merge091_3543_plasma	ZH006_Plasma_5mC	ZH471_brain_cancer_3584	ZH540_brain_cancer_3563_5mC	Merge089_3446_plasma	ZH458_brain_cancer_3465	ZH459_brain_cancer_3466	ZH515_brain_cancer_3621_5mC	ZH276_brain_cancer_plasma_5mC	ZH455_brain_cancer_3389	Merge095_3560_plasma	Merge088_3431_plasma	ZH288_brain_cancer_plasma_5mC	ZH470_brain_cancer_3572	ZH303_brain_cancer_plasma_5mC	Merge092_3568_plasma	ZH517_brain_cancer_3630_5mC	ZH518_brain_cancer_3654_5mC	ZH465_brain_cancer_3562	ZH461_brain_cancer_3507	Merge045_6528_plasma_5mC	ZH277_brain_cancer_plasma_5mC	ZH521_brain_cancer_3575_5mC	ZH157_brain_cancer_plasma_5mC	ZH162_brain_cancer_plasma_5mC	ZH469_brain_cancer_3569	ZH516_brain_cancer_3622_5mC	ZH010_Plasma_5mC	ZH270_brain_cancer_plasma_5mC	Merge031_3454_plasma_5mC	Merge047_6458_plasma_5mC	Merge042_6413_plasma_5mC	ZH404_liver_cancer_AS1110	ZH418_liver_cancer_AS1129	ZH415_liver_cancer_AS1124	ZH413_liver_cancer_AS1120	ZH416_liver_cancer_AS1125	ZH403_liver_cancer_AS1109	ZH411_liver_cancer_AS1117	ZH401_liver_cancer_AS1106	ZH398_liver_cancer_AS1097	ZH390_liver_cancer_plasma	ZH402_liver_cancer_AS1107	ZH412_liver_cancer_AS1118	ZH405_liver_cancer_AS1112	ZH280_liver_cancer_plasma_5mC	ZH176_liver_cancer_plasma_5mC	ZH171_liver_cancer_plasma_5mC	ZH388_liver_cancer_plasma	ZH392_liver_cancer_plasma	ZH387_liver_cancer_plasma	ZH175_liver_cancer_plasma_5mC	ZH378_liver_cancer_plasma_5mC	ZH281_liver_cancer_plasma_5mC	ZH409_liver_cancer_AS1115	Merge063_AS1047_plasma_5mC	ZH186_liver_cancer_plasma_5mC	Merge032_AS1024_plasma_5mC	Merge067_AS1021_plasma_5mC	ZH389_liver_cancer_plasma	ZH267_liver_cancer_plasma_5mC	ZH410_liver_cancer_AS1116	ZH279_liver_cancer_plasma_5mC	ZH396_liver_cancer_AS1090	Merge034_AS1030_plasma_5mC	ZH397_liver_cancer_AS1091	Merge065_AS1045_plasma_5mC	Merge033_AS1028_plasma_5mC	ZH326_liver_cancer_plasma_5mC	ZH180_liver_cancer_plasma_5mC	ZH269_liver_cancer_plasma_5mC	Merge066_AS1054_plasma_5mC	ZH283_liver_cancer_plasma_5mC	ZH391_liver_cancer_plasma	ZH408_liver_cancer_AS1123	ZH377_liver_cancer_plasma_5mC	Merge068_AS1067_plasma	ZH174_liver_cancer_plasma_5mC	Merge064_AS1055_plasma_5mC	Merge067_AS1068_plasma	Merge035_AS1041_plasma_5mC	Merge066_AS1069_plasma	ZH266_liver_cancer_plasma_5mC	ZH319_liver_cancer_plasma_5mC	Merge064_AS1072_plasma	Merge078_L0253_plasma	ZH420_normal_L0180	Merge079_L0262_plasma	ZH372_normal_plasma_5mC	Merge076_L0107_plasma	Merge077_L0251_plasma	ZH427_normal_L0286	ZH374_normal_plasma_5mC	ZH375_normal_plasma_5mC	ZH428_normal_L0301	ZH419_normal_L0176	ZH424_normal_L0276	ZH371_normal_plasma_5mC	ZH421_normal_L0198	Merge082_L0304_plasma	ZH272_normal_plasma_5mC	Merge085_L0287_plasma	ZH324_normal_plasma_5mC	ZH273_normal_plasma_5mC	ZH373_normal_plasma_5mC	ZH446_normal_L0305	ZH332_normal_plasma_5mC	ZH435_normal_L0257	ZH275_normal_plasma_5mC	ZH274_normal_plasma_5mC	ZH429_normal_L0105	ZH441_normal_L0271	ZH295_normal_plasma_5mC	ZH294_normal_plasma_5mC	ZH442_normal_L0275	ZH333_normal_plasma_5mC	ZH299_normal_plasma_5mC	ZH293_normal_plasma_5mC	Merge093_L0223_plasma	Merge094_L0230_plasma	ZH300_normal_plasma_5mC	ZH296_normal_plasma_5mC	ZH570_5mC	ZH577_5mC	ZH583_5mC	ZH575_5mC	ZH574_5mC	ZH568_5mC	ZH573_5mC	ZH587_5mC	ZH579_5mC	ZH581_5mC	ZH580_5mC	ZH567_5mC	ZH585_5mC	ZH582_5mC	ZH601_normal_L587100258_5mC	ZH602_normal_L587101460_5mC	ZH603_normal_L587101751_5mC	ZH604_normal_L587101758_5mC	ZH605_normal_L587101955_5mC	ZH606_normal_L587102427_5mC	ZH607_normal_L587102444_5mC	ZH608_normal_L587102503_5mC	ZH609_normal_L587102534_5mC	ZH610_normal_L587102548_5mC	ZH611_normal_L587102705_5mC	ZH612_normal_L587102708_5mC	ZH619_normal_L587101229_5mC	ZH622_normal_L587103340_5mC	ZH623_normal_L587102183_5mC	ZH624_normal_L587103979_5mC	ZH625_normal_L587100742_5mC	ZH626_normal_L587103588_5mC	ZH627_normal_L587102447_5mC	ZH628_normal_L587101236_5mC	ZH629_normal_L587100058_5mC
liver_cancer_up_20	NA	-1	NA	NA	NA	NA	NA	NA	-1	-1	NA	NA	NA	-1	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	-0.591837123948701	NA	NA	-0.333333343267441	NA	NA	NA	NA	-0.754310346882919	NA	-1	-1	NA	NA	NA	-1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	-1	NA	NA	NA	NA	NA	NA	-0.912746081937034	-0.899518211122969	-0.907012616284192	-1	-1	-1	-1	NA	NA	-1	-0.818713799903267	-0.863602981567383	-1	NA	-1	NA	-0.903846257008039	NA	NA	-1	NA	NA	-1	NA	-1	NA	NA	NA	NA	-1	NA	-1	NA	-1	-1	NA	-0.333333939313889	-1	-1	-1	-1	NA	-1	NA	NA	-1	NA	-1	NA	NA	NA	-0.670411709989055	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	-1	-1	NA	NA	NA	NA	NA	NA	NA	NA	-0.845593527456125	NA	-1	-1	-1	-1	NA	-0.526666287581126	NA	NA	NA	-1	NA	-0.595864664118989	NA	NA	-1	NA	NA	NA	NA	-1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.777777373790741	NA	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA
brain_cancer_down_1	NA	NA	NA	NA	NA	1	NA	NA	1	1	1	NA	NA	NA	NA	1	1	NA	0.866035482676133	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	0.576212748538616	0.142856642603874	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.500000417232513	NA	NA	NA	NA	NA	NA	NA	1	1	0.825364104906718	0.959159116487245	0.935164805987607	1	0.929514178724	1	NA	1	NA	1	NA	1	1	NA	1	NA	1	1	0.749999761581421	NA	1	NA	1	NA	NA	NA	1	1	1	1	NA	1	0.989150767525037	1	NA	1	0.799095513299108	NA	1	NA	1	NA	0.911297076416814	1	NA	NA	1	NA	1	NA	NA	NA	1	1	1	NA	1	1	NA	NA	1	NA	NA	1	1	1	1	0.894261962238778	1	1	1	1	NA	1	NA	1	1	1	NA	0.899644170367421	NA	1	1	1	1	NA	NA	1	1	1	NA	NA	NA	1	NA	0.773103825616596	NA	1	NA	0.805216270249064	NA	NA	NA	1	NA	NA	1	NA	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA
normal_down_112	NA	-0.486257754053388	-0.478790210400309	-0.47821170943124	-0.575411627122334	-0.659011567490441	NA	-0.934805148839951	-0.740060877799988	-0.828811344930104	-0.294500929117203	-0.496811206851687	-0.232828971562964	-0.335627688224926	-0.714285135269165	-0.714285433292389	NA	-0.648651942184993	-0.261224687099457	0.00659361481666565	NA	NA	-0.636735032285963	-0.574073731899261	-0.994017946518074	-0.87598231945719	-0.559467188801084	0.00310559408820194	-0.442159179449081	NA	-1	NA	-0.39427450409642	-0.258178691885301	-0.437619707414082	NA	-1	-0.336523126472126	0.168404481373727	-0.708693567344121	-0.0422835888303056	NA	-0.0692164233752659	-0.630233189889363	-0.293924416961341	-0.613016098737717	-0.759391140937805	NA	-0.461224280652546	NA	-0.573510875872203	-0.645923498001966	-0.216827614151913	NA	0.600000023841858	0.199999585747719	-0.691929229668209	NA	-0.568846395186016	-0.252033283135721	NA	NA	NA	-1	NA	NA	-1	NA	NA	NA	-0.173337180500052	-0.258306287654809	-0.486009596926825	-0.234053027022768	-0.565532859734126	-0.534355351754597	-0.286844941760812	NA	-0.589718383550644	-0.247891070427639	-0.574947444881712	-0.310035162951265	-0.286749899813107	-0.463061171499166	-0.320865760104997	NA	-0.41531873313444	0.250000476837158	-0.766617633615221	NA	0.42756487940039	-0.511982148768855	-0.377874107020242	NA	NA	-0.352769797553821	-0.690313253232411	-0.0927146902238881	-0.36433311251562	-0.424282255768776	NA	-0.734504413391863	-1	-0.910722391647205	0.36111056804657	-0.325668340069907	-0.757742486681257	NA	-0.732425042561122	0.19999922811985	NA	-0.272727280855179	0.0971300970230784	0.712499760091305	-0.753047818796975	-0.872127904341771	NA	-0.656100105387824	-0.808276753766196	-0.594285890034267	-0.296938559412956	-0.228571269767625	-0.627487597720964	0.10989648646542	-0.617974853515625	-0.431101155706814	-0.00251476035586425	NA	0.22424241900444	-0.323023650688784	0.111111089587212	0.172714149127855	-0.74920398082052	-0.373214977128165	-0.71792525436197	NA	-0.000307477686716163	-0.4285708963871	-0.776938356699482	0.981584748200008	-0.416799119966371	-0.309410327672958	-0.954365031208311	0.515475885782923	-0.785531206772878	0	-0.585586074859865	NA	NA	NA	NA	NA	NA	NA	NA	-0.333333343267441	NA	NA	NA	NA	-0.0980810416278554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.384127086400986	-0.519192354245619	0.639610302448273	0.605644111122404	NA	NA	0.724884785987713	0.693506300449371	-0.46577814327819
brain_cancer_down_2	NA	NA	NA	NA	0.290343239101805	-1	-0.755388493872871	-0.134527364851169	NA	NA	0.505735088980967	-0.520379428065822	0.600122413710579	0.309723829772292	0.142857417464256	-0.988095226387183	NA	NA	NA	-0.344285662788333	-0.428571671247482	-0.83383982684067	-0.41694124783475	NA	0.666666686534882	0.680727385893101	NA	-0.587301239607826	NA	-0.642856631960188	0.728717635206829	-0.340740752440912	NA	-0.500000310980755	0.0712676054994825	0.757316940562512	NA	-0.0372869581468519	0.135657775898774	-0.309956797531673	0.0132900842955347	-0.418274856515621	0.714286506175995	NA	NA	NA	-0.405019199263982	NA	NA	NA	NA	-0.0114855842999415	-0.725067401832005	NA	NA	-0.413265071986687	NA	NA	NA	0.27922706063027	1	-0.181847134201797	NA	0.620168212331644	-0.298794993794108	NA	0.333333343267441	NA	NA	NA	-0.771344127287542	-0.56114793010056	-0.488604804025534	NA	-0.428570866584778	-0.18054634751752	NA	-0.272301296708901	NA	NA	-0.328907471359446	NA	-1	NA	-0.177202109525972	NA	NA	-0.491363243879499	NA	-0.500000476837158	NA	NA	NA	-1	-0.157603445745284	-0.713985748744259	-0.331680605781602	0.127224795762382	-0.790854528777958	-0.28695806416113	-1	NA	NA	-1	-0.95980781918272	NA	NA	NA	-0.742013261288027	0.0356304197749005	-0.13862146653127	NA	-0.582456099359613	NA	-0.207674187293156	-0.333333343267441	NA	NA	-0.0936584263313107	-0.764935083784066	NA	-1	NA	-0.824052864854986	NA	-0.355032971213487	-0.200000017881393	-0.467163652096476	-0.600000023841858	0.309553727751428	-0.773373830616474	NA	-0.283305168113842	NA	-0.445124789971073	NA	NA	-0.442482853766348	-1	NA	-0.539482092838499	-0.499999518195788	-0.61400929266128	-0.599999308586121	NA	-0.652998484577594	-1	NA	0.151778486406379	-0.562782861389123	NA	NA	0.333333343267441	-0.402469078405404	0.0175438601719706	-0.899099098347329	NA	NA	NA	0	NA	NA	-0.511937894581156	NA	-0.599999248981476	-0.897618943559272	-1	-0.808383233532934	-0.174683547095407	-0.733333134651184	-0.499999493360519	-0.849329204161962	-0.412918081801189	0.0704627333077297	-0.700854528229684	-0.78190343744225	-0.473153034584564	-0.777777552604675	-0.13344131812533	-1	-0.410764401189743	-0.770624806752076	-0.327838838755429	NA	-0.893165262062338	1	-0.599999248981476	1	NA	-1	-0.404255330879638	-1	-0.556575965609042	-1	NA
liver_cancer_up_7	0.142787896990776	0.494005079567432	0.530908690889676	NA	-0.144642694464213	NA	NA	NA	0.130114607831352	-0.377739280747455	-0.258644294674679	NA	-0.574201302985622	-0.275587042106648	-0.714285135269165	-0.157456143897165	0.228333982080221	-0.625000090531583	-0.703832717203512	NA	-0.147880235314369	NA	-1	NA	-1	0.291062785879425	-0.656934616339468	0.241698837328342	NA	-0.245789021083287	-0.0737661740996621	NA	NA	-0.0451612102408563	-0.597101466811222	0.504999621212482	NA	-0.210243633389473	NA	NA	NA	0.292696198258135	0.56903655023167	0.734631568193436	-0.1601380552015	0.107744466174733	0.428572207689285	-0.527244916359583	-0.179657204165345	0.471838185623769	NA	0.617440549596663	-0.666666686534882	0.475867613611451	0.480519483486811	-0.453247029555174	0.600000381469727	-0.201490108693778	0.0230769102389996	0.625000022351742	NA	0.271279613099371	-0.334592271522181	NA	NA	-0.422027475629116	-1	NA	NA	1	-0.695134324176858	-0.485714614391327	0.486131615936756	-0.639198943687852	NA	0.192277986455608	-0.222807030241514	-0.833333194255829	0.202380875569014	-0.549987315711841	NA	0.44956914562928	NA	0.200000375509262	-0.777778685092926	-0.333333343267441	-0.747535822621311	0.509258796771367	-0.354785537435895	-0.310579512506089	-0.640366078737904	-0.499999552965164	-0.200432909618724	-0.00952356905568371	-0.287302297447364	-0.403814143275956	NA	-1	0.0108295296689114	-0.838590404079279	-0.6397214728741	0	0	-0.749315910640804	0.0559381282045728	-0.919719210037818	0.10563158005476	-0.172259282234103	0.120535716414452	0.134545228003595	-0.600000023841858	-0.549206366657695	-0.599999666213989	NA	-0.690103110550456	-0.942022265551926	-0.07032163876134	NA	0.553160127041475	-0.801351420581341	0.0958684252821692	-0.55424861996872	-1	-0.113924709459146	0.636363327503204	0.732541569348039	NA	-0.240975837764542	0.0724972928992383	-0.59981338316653	-0.0769358362409879	0.0309268867839938	-0.479652458115628	0.717424482107162	-0.0988819952468452	NA	-0.442857079207897	-0.110877004203372	-0.576417517662048	-0.37955174526343	NA	-0.196946352396322	0.0388889648020267	0.615156351012479	-0.544444674419032	0.626775677086877	0.135960532526665	-0.16343215613995	0.499999552965164	-0.0279205753467977	NA	-1	0.151624386814097	1	NA	-0.493021783835076	0.244313205945363	0.333332747220993	-0.352380754266466	-0.42193013312001	-0.0748299370918955	-0.051948140967976	-0.333333343267441	NA	0.540372741518554	-0.29394522890812	0.624999407678843	-0.885242123864899	-0.463068186898123	NA	-0.250135613236835	-0.407544384209009	-0.333332687616348	-0.389049350771555	-0.193915227587734	-0.308719675837746	-0.433498878031969	NA	1	0.566474711072856	NA	NA	-0.28071605270369	0.400000154972076	-0.484337461424304	-0.0549264843523724	NA	0.763384092937816	0.196089436362187	NA	NA	1	1	1	0.222867508103018
liver_cancer_down_42	-1	-1	-0.806426125544089	-1	-1	-1	-1	-1	-1	-0.86727391545837	NA	-1	-1	NA	NA	-0.875547564512975	-0.884892333228633	-0.725274196037879	-0.914442030159203	NA	-1	-0.925078035127826	-0.998227261610933	-0.770856526616502	NA	NA	-0.767066508934305	NA	-0.882653160818985	-1	NA	NA	NA	NA	-0.62151925950437	NA	-1	NA	-0.71346641271501	NA	-0.791705221743197	-1	-1	NA	-0.714286267757416	NA	-1	-0.749478122121409	-1	-1	NA	NA	NA	-1	-0.681988817194234	-1	NA	NA	-1	NA	-1	-1	-1	NA	-1	NA	-1	-1	NA	NA	-0.828154683593781	-0.858721687168371	-1	NA	NA	-0.82762789928307	NA	-0.926508665084839	-0.719140842252848	NA	-0.829948351933406	NA	-0.861424899987272	NA	NA	NA	-1	NA	NA	NA	NA	NA	-0.901098906993866	NA	NA	NA	NA	-0.984848484848485	NA	NA	NA	-1	NA	-0.716666896641254	-1	NA	NA	NA	-0.666666626930237	-1	NA	NA	NA	-1	NA	NA	NA	NA	NA	-1	-1	-1	NA	-0.636363446712494	-0.828322172164917	-0.831166210927461	-0.819332114748053	-1	-0.911521815260251	-1	NA	NA	-0.562524107553191	NA	-1	NA	-1	-1	-1	-1	-1	-1	-0.509523593421493	-1	-1	-0.867199949264526	-1	-1	-1	-1	NA	-1	-1	-1	-1	-1	NA	-1	NA	-1	-0.865329700144562	-1	-1	NA	-1	-0.699128977753021	-1	-1	-1	-1	-0.91677857020445	-0.696064712630736	NA	-1	-1	-0.954836298887794	-0.952466769798382	-1	-1	-1	-0.966619811348013	NA	-1	-1	-0.998461533509768	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
liver_cancer_up_8	NA	NA	NA	0.531569026316269	NA	NA	NA	0.810888100842961	0.749999523162842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.507463142053405	NA	NA	0.599999606609344	0.599999248981476	NA	NA	1	0.5	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	0.742559718588988	0.240273034131085	1	NA	NA	NA	NA	NA	NA	NA	0.599999248981476	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	0.543890843424228	NA	0.347203603031438	0.917316648391409	0.745665006099209	1	0.833333194255829	1	NA	0.831194584509906	NA	0.643174036927179	NA	1	1	NA	0.749999761581421	NA	0.513741646662797	0.5	NA	1	0.768343053758144	0.550137155044537	NA	NA	0.202433180652167	NA	0.747058824931874	NA	1	1	NA	1	NA	0.784658710344122	1	NA	1	NA	0.653266631135153	0.599999666213989	0.599999666213989	0.383661205068641	NA	1	NA	0.500000417232513	NA	1	1	1	NA	NA	NA	NA	0.853341820628144	NA	NA	NA	NA	0.240403058026966	NA	NA	NA	1	0.741321558707228	NA	0.644207737547286	NA	NA	0.654767561943159	NA	NA	NA	1	NA	1	0.200000301003456	NA	-0.218348617674014	1	0.483180041433474	1	NA	0.642813287743735	0.084403752733808	NA	1	0.677655677432599	NA	NA	0.723717605838409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.636363983154297	NA	0.597553542447746	1	NA	0.333333969116211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
normal_down_31	0.0511699963486596	0.116162170966466	0.256061660555693	-0.244438869659515	-0.432528207760032	-0.598219712023382	-0.785620348905426	-0.9393524521106	-0.630751500828098	-0.362617148005444	-0.453253062932115	-0.596855369425311	-0.822369537408778	-0.40937613202566	-0.746343831405463	-0.971428543329239	-0.607470847871325	-0.357142772238988	-0.201560144794398	-0.474152991417292	-0.500439478202807	0.272066851839041	-0.0228802196614377	-0.49962498827113	-0.937051535469212	NA	-0.911602290295764	-0.873597357293655	-0.156661219938972	-0.356574097415432	-1	-0.0591307368940359	0.262650329125933	-0.684944327227831	0	-0.925832421235416	-0.762500074505806	-0.500314687378705	NA	-0.813741875026839	-0.607139212912635	NA	-0.949393755615417	-0.391961670861456	-0.206722589100108	NA	-0.13290011147155	-0.575928671185563	1	NA	-0.574590994955633	-0.290263598771404	NA	0.440698404312134	0.122448978856916	-0.283390454819932	NA	NA	-0.980165290438439	-0.600000023841858	-0.744544540726861	-0.520771186837717	-0.84375	0.170469559879111	-0.14111621453557	-1	0.0878075659275055	-1	-0.796158626952579	0.15496206203493	-0.225389386261148	-0.332028303186606	-0.847335105099264	-0.429966417511114	-0.464243004891005	-0.414646036882658	-0.834936246275902	-0.622691587844429	-0.611703003375706	-0.520301295512634	-0.454007484626361	-0.323638532636235	-0.291545736163106	-0.80583994049165	-0.300412165743292	-0.268532869208347	-0.454208709672093	-0.444444216433026	NA	-0.422995041464181	0.0334449255771369	0.264706322375466	-0.457726972688939	0.272842293969639	-0.133837243031924	-0.56575831057986	-0.379307982873391	-0.568152012218029	0.123404679063973	-0.387673773600922	0.010126785244993	-0.100529362426864	-0.834639335860683	-0.23690332942468	-0.0488218998166289	-0.580703015386132	-0.207504804019329	-0.681224499240009	-0.222372275440633	-0.17920976491137	-0.703814822733402	-0.628299331665039	-0.182675492802733	-0.441773310386243	-0.660612269718301	-0.84804474172138	-0.687868669312892	-1	NA	-0.869496257084867	0.44869240656705	-0.434357569953583	-0.720430024208561	-0.603688104654388	0.137049444299191	-0.113253071322106	-0.148543998491463	-0.375359072445709	-0.509270937430977	-0.237359861141355	-0.097955567511515	0.348329678966719	-0.106157535113967	0.764685558967101	-0.664749842807651	-0.28183067145829	0.735786808996784	0.291008486709696	0.0352171140931028	0.0697829325473745	-0.509208578994886	0.0662790117568748	0.432071780052877	-0.582924504492848	-0.570003365015794	-0.367712937128383	-0.0831699032489568	-0.352892788832244	0.438639500966439	-0.527431976156575	-0.32654942246388	1	-0.0739477998466902	-0.652777522181471	-0.838320961197217	-0.183495145905944	-0.490002511305059	-0.305179989619835	-0.00130202551372349	-0.534792271527377	NA	NA	0.711537880775256	-0.666666388511658	-0.388963193015048	0.337474622156309	0.0890152020887895	1	0.350199693056845	-0.409427680150427	-0.122325668262469	-0.695305217959223	0.512396679683165	0.0739669874310493	-0.282457992860249	-0.501154875535457	0.843277235825857	0.728394799762302	0.296560666958491	-1	-0.402492724429324	-0.674291565429931	-0.479343656603604	-0.0113380672980328	-0.460773581379383	0.323703541281896	-0.0373086229376837	0.130302900787104	0.666666686534882	0.7915252649015	0.0871795780128903	0.735714733600616	0.343141423165798	0.30925775217739	0.410714825349195
liver_cancer_up_5	NA	-1	-1	-0.896416464447975	NA	NA	NA	-1	-1	-0.851758583386739	-0.748403920729955	-1	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	-1	-0.690476447343826	-1	NA	NA	NA	NA	-0.587036666274071	-1	NA	NA	0.170952379455169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	-1	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	-0.977316870292028	-0.967739526430766	-0.978196919957797	-1	-0.912755021027156	-1	-1	NA	NA	-0.979532788197199	-0.943040422598521	-1	-0.832110929489136	-0.979474452137947	NA	NA	-1	-0.995105814933777	-0.78833267390728	NA	-0.801662562290827	NA	-1	NA	-1	-1	-0.547252508004506	-1	-0.836938148736954	-0.964761904875437	-0.938660805424055	-1	-1	-1	NA	-1	-1	NA	-1	NA	NA	-1	-1	-0.821126383543014	-0.800473802288373	NA	NA	-0.998245613773664	NA	-0.874272936582565	-0.933333367109299	-0.496692733963331	-0.401110724608103	NA	-0.831601587363652	NA	-1	NA	NA	-0.910909095406532	-0.799473756551743	-0.484795031944911	-1	-1	NA	-0.968498172362645	-1	NA	-1	NA	-0.747735166549683	-1	-0.371818240980307	NA	-1	NA	-0.746349055568377	-0.777777791023254	NA	NA	NA	-1	NA	-1	-1	NA	NA	NA	-1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	-1	-1	-0.977826619148254	-1	-1	-1	-1	-1
liver_cancer_down_70	NA	NA	1	1	0.838504655020578	0.927891033036368	NA	1	NA	NA	NA	1	1	NA	1	1	1	0.984126959528242	0.562747194298676	NA	1	0.875163279473782	1	NA	1	NA	NA	1	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.855867352868829	1	1	NA	1	NA	1	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.845745464520795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.605127875621502	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.79159231077541	NA	0.863176462262176	NA	NA	1	0.777777791023254	NA	NA	NA	0.79439955417599	0.749999582767487	0.749999582767487	NA	1	1	1	1	NA	1	0.599999308586121	0.76610668091213	NA	NA	1	1	1	1	1	1	0.572092596874681	1	1	NA	1	NA	1	1	1	1	1	0.599999248981476	0.302381432748267	1	NA	NA	NA	NA	NA	1	NA	NA	1	1	1	NA	NA	NA	NA	0.875836506485939	NA	1	NA	NA	1	1	NA	NA	NA	1	NA	NA
