seqnames	start	end	width	strand	name	score
chr19	1194462	1194761	300	*	normal_down_112	0.0291018725434939
chr13	28503235	28503534	300	*	liver_cancer_up_42	0
chr1	147774724	147775138	415	*	liver_cancer_up_20	0.207697365801018
chr6	29521411	29521710	300	*	liver_cancer_up_52	0.00793685019016266
chr4	7454571	7454870	300	*	brain_cancer_up_39	2.9612473320961
chr8	53852213	53852627	415	*	liver_cancer_up_25	0
chr10	35295004	35295303	300	*	liver_cancer_up_56	0.417479391992092
chr18	60618600	60618899	300	*	normal_down_70	0.173023544003566
chr11	69478996	69479295	300	*	liver_cancer_up_8	0.227788077518344
chr8	144358350	144358649	300	*	liver_cancer_up_27	0
chr4	988556	988855	300	*	normal_down_36	0.0375677575667699
chr14	46326606	46326905	300	*	liver_cancer_up_28	0.0735481450955073
chr2	204068233	204068532	300	*	liver_cancer_up_18	0
chr19	48983563	48983862	300	*	liver_cancer_up_23	0.0767228884498278
chr1	160951915	160952299	385	*	liver_cancer_up_44	0.0742147030768456
chr7	129418295	129418594	300	*	liver_cancer_up_69	0.122756904760997
chr2	89852611	89852910	300	*	liver_cancer_down_139	168.344786529541
chr11	69517700	69518273	574	*	liver_cancer_up_21	0
chr1	26659124	26659423	300	*	liver_cancer_down_164	3.61074805577596
chr10	35330496	35330795	300	*	liver_cancer_up_32	0.33414220114549
chr20	18190210	18190509	300	*	normal_down_81	0.141276123523712
chr1	161035722	161036021	300	*	liver_cancer_up_60	0.597117223143578
chr11	131550844	131551743	900	*	normal_down_60	0.864060814844237
chr19	835434	835733	300	*	normal_up_112	0.34604747146368
chr1	145969148	145969447	300	*	brain_cancer_up_13	0.0724898984034856
chr8	2129864	2130163	300	*	liver_cancer_down_179	1.46673421343168
chr11	69650079	69650455	377	*	liver_cancer_up_65	0.0696843715300611
chr9	134391333	134391632	300	*	normal_down_44	2.78795894781748
chr19	433635	433934	300	*	normal_down_104	5.78465784072876
chr5	46383346	46383645	300	*	liver_cancer_down_189	1.30376387119293
chr11	103280915	103281514	600	*	brain_cancer_up_3	0.398827903072039
chr16	87196263	87196862	600	*	normal_down_33	2.90264682888985
chr7	63386705	63387004	300	*	liver_cancer_up_64	0
chr5	115264476	115264775	300	*	normal_down_118	0.405309518973033
chr1	76002602	76002901	300	*	liver_cancer_down_37	7.3045689941446
chr6	1927220	1927519	300	*	normal_down_69	7.45484041055044
chr13	61551933	61552232	300	*	normal_down_103	0.368799781898657
chr5	162486769	162487068	300	*	brain_cancer_up_31	0.268266215026379
chr9	2823955	2824254	300	*	liver_cancer_up_1	0
chr13	37574137	37574436	300	*	normal_down_82	0
chr1	147752954	147753553	600	*	liver_cancer_up_14	0.0105824669202169
chr4	2771680	2772060	381	*	liver_cancer_up_15	0.240397498441806
chr10	35199876	35200175	300	*	liver_cancer_down_2	8.72209463119507
chr5	68427903	68428202	300	*	normal_down_31	0.151858780582746
chr10	42542408	42542707	300	*	liver_cancer_down_187	44.3300826390584
chr5	62006249	62006548	300	*	liver_cancer_up_29	0.00211649338404338
chr1	25161244	25161621	378	*	liver_cancer_down_50	0.671064751291716
chr11	69464605	69464904	300	*	liver_cancer_up_11	0.541294608513514
chr14	77735923	77736222	300	*	liver_cancer_down_122	0.100004427134991
chr9	69703231	69703530	300	*	liver_cancer_down_123	6.28044813632965
chr10	61365646	61365945	300	*	liver_cancer_down_136	1.97125469177961
chr7	27182735	27183034	300	*	brain_cancer_down_45	0.00793685019016266
chr6	1625273	1625572	300	*	liver_cancer_up_66	0
chr19	30386536	30386835	300	*	liver_cancer_up_41	1.76463135838509
chr14	50053157	50053756	600	*	liver_cancer_down_1	0.728208053708077
chr2	109816026	109816325	300	*	normal_down_42	22.4124073123932
chr2	10676231	10676640	410	*	liver_cancer_down_46	9.61716741468848
chr4	186198959	186199258	300	*	liver_cancer_down_141	2.3387318901221
chr19	431535	433034	1500	*	normal_down_45	6.31775108702977
chr10	79333224	79333523	300	*	liver_cancer_up_3	0.0423298676808675
chr22	24593475	24593774	300	*	liver_cancer_up_16	0.199215465039015
chr2	240981669	240981968	300	*	liver_cancer_down_153	2.93241005579631
chr3	49723977	49724276	300	*	liver_cancer_up_70	0.174081839819749
chr20	26312455	26312754	300	*	liver_cancer_down_184	20.1710341453552
chr6	601535	602134	600	*	brain_cancer_up_37	15.2488500499725
chr5	80039381	80039680	300	*	liver_cancer_down_36	4.97086369037628
chr10	823521	823820	300	*	liver_cancer_down_98	1.1741282761097
chr2	131881185	131881484	300	*	liver_cancer_down_54	0.105824682513873
chr6	134995934	134996233	300	*	brain_cancer_up_17	0
chr2	87645236	87645535	300	*	liver_cancer_up_55	0.135984922846158
chr18	20798272	20798571	300	*	liver_cancer_down_116	1.85087876707315
chr10	134824482	134824781	300	*	normal_down_85	3.73006592909495
chr11	77907332	77907709	378	*	normal_up_85	0.0109184182510174
chr2	233764717	233765500	784	*	normal_down_38	3.67789036111564
chr21	9827129	9827584	456	*	brain_cancer_up_26	28.2568354149137
chr12	132813407	132813970	564	*	normal_down_22	3.47364853882621
chr18	72627724	72628023	300	*	normal_down_100	5.27802069028219
chr1	16974552	16974926	375	*	liver_cancer_up_33	0.231544890165329
chr10	133765874	133766352	479	*	liver_cancer_down_64	2.53930250563054
chr6	29685554	29685853	300	*	liver_cancer_down_142	2.22893868406614
chr2	230049402	230049701	300	*	normal_down_49	0.858240554531415
chr12	63244486	63244785	300	*	brain_cancer_up_18	0.0857179820537567
chr10	134387072	134387371	300	*	normal_down_106	3.84118209163348
chr17	19530990	19531352	363	*	normal_up_91	0.280523307272554
chr11	69462582	69463082	501	*	liver_cancer_up_35	0.416012498730433
chr12	75347200	75347499	300	*	brain_cancer_up_16	0.0404779975364606
chr10	35501470	35501769	300	*	liver_cancer_up_68	1.21698735505342
chr12	127650489	127650982	494	*	brain_cancer_up_1	0.666761382449011
chr3	166735369	166735668	300	*	brain_cancer_up_34	1.67626773754756
chr19	50155132	50155431	300	*	normal_up_100	0
chr12	133159856	133160155	300	*	normal_up_70	0
chr10	7755889	7756188	300	*	liver_cancer_up_31	0.797126685430606
chr11	69465933	69466353	421	*	liver_cancer_up_12	0.344999226071206
chr1	156616535	156616834	300	*	liver_cancer_up_59	0.0703735525409381
chr19	7532280	7532579	300	*	brain_cancer_down_49	0.077781272828579
chr14	61192448	61192747	300	*	normal_down_56	0.517219427625338
chr1	102695616	102696011	396	*	liver_cancer_down_40	5.4960842945359
chr10	5411929	5413034	1106	*	normal_down_12	1.27829587828725
chr17	8199264	8199563	300	*	liver_cancer_up_7	0.426209872961044
chr4	9256799	9257098	300	*	normal_down_86	4.47798387606939
chr14	50329282	50329581	300	*	brain_cancer_up_32	0.159795647164186
chr20	62766477	62766776	300	*	normal_down_53	2.41307409922282
chr22	44230302	44230853	552	*	normal_up_106	0
chr10	135478947	135479246	300	*	normal_up_110	0.58044982192417
chr17	81153421	81153720	300	*	brain_cancer_down_36	0
chr21	45830362	45830661	300	*	normal_down_116	1.31064230879148
chr7	64029866	64030165	300	*	liver_cancer_up_53	0.0894220651189486
chr7	6693256	6693555	300	*	normal_up_103	0
chr1	149224070	149224369	300	*	brain_cancer_up_22	0
chr6	106983610	106983909	300	*	liver_cancer_down_74	5.89471574147542
chr16	21530186	21530485	300	*	normal_down_117	0
chr15	21359962	21360261	300	*	normal_up_49	0.0185193269451459
chr4	187882583	187882882	300	*	brain_cancer_up_36	3.51577044884364
chr2	185918218	185918517	300	*	liver_cancer_down_28	5.67354162335396
chr2	217092134	217092569	436	*	liver_cancer_down_31	0.941320486571811
chr15	65438064	65438363	300	*	liver_cancer_down_146	2.7368984135737
chr4	187886732	187887031	300	*	liver_cancer_down_185	5.61110479513804
chr11	11268517	11268816	300	*	normal_down_59	0.748182599668701
chr14	102973580	102973879	300	*	normal_up_59	0.0222231805324554
chr1	161439726	161440025	300	*	brain_cancer_down_59	0.0449754844109217
chr2	91750677	91751014	338	*	normal_up_27	0.0399191446558258
chr9	79186659	79187094	436	*	brain_cancer_up_4	0.663347841710399
chr10	35502059	35502358	300	*	liver_cancer_up_63	0.206358623007933
chr20	54463240	54463539	300	*	liver_cancer_down_104	4.03616476714611
chr15	20353347	20353734	388	*	normal_up_9	0.0679134341705706
chr14	31943044	31943343	300	*	liver_cancer_down_71	5.33675357778867
chr7	63225296	63225595	300	*	liver_cancer_up_71	0.762733543217182
chr8	145105453	145106374	922	*	liver_cancer_up_30	0.0232424029429926
chr4	191003878	191004177	300	*	normal_up_71	0.576481485913197
chr6	10070809	10071108	300	*	liver_cancer_down_152	2.93558487763007
chr22	29163891	29164382	492	*	liver_cancer_down_109	1.85096913153624
chr6	52860193	52860728	536	*	brain_cancer_up_8	0.146891243144203
chr3	192306054	192306353	300	*	liver_cancer_down_47	2.49985052327315
chr7	1786041	1786430	390	*	brain_cancer_down_10	0
chr11	69956099	69956398	300	*	normal_down_27	0.459809433221817
chr4	9212054	9212353	300	*	normal_down_80	0.88522600432237
chr9	67791342	67792275	934	*	liver_cancer_down_77	11.5193433552917
chr19	56104376	56104734	359	*	normal_up_48	0
chr5	7300788	7301087	300	*	liver_cancer_down_167	0.937609193722407
chr15	65394489	65394788	300	*	brain_cancer_down_11	0.00952422022819519
chr13	100129320	100129701	382	*	normal_down_32	2.73759814145053
chr22	47774911	47775210	300	*	liver_cancer_down_132	1.34741650183996
chr1	10484	10783	300	*	liver_cancer_down_172	0.546850562418501
chr1	224200843	224201142	300	*	liver_cancer_down_126	254.770987599691
chr10	50312760	50313059	300	*	liver_cancer_down_155	1.93130580256383
chr5	175488250	175488669	420	*	liver_cancer_down_120	4.67444032863492
chr5	180864315	180864614	300	*	brain_cancer_down_32	0
chr16	33896051	33896350	300	*	normal_down_102	14.2921923001607
chr9	44992213	44992968	756	*	liver_cancer_down_58	13.878084808588
chr3	130466455	130466754	300	*	normal_down_52	0.00952422022819519
chr4	9216803	9217102	300	*	liver_cancer_up_26	2.05141735633214
chr2	90380773	90381072	300	*	normal_down_55	5.53596904277802
chr2	108445088	108445987	900	*	brain_cancer_down_2	0
chr8	70602177	70602476	300	*	liver_cancer_down_108	4.12294112682343
chr4	117219252	117219551	300	*	brain_cancer_up_40	0.232021034757296
chr6	171021003	171021302	300	*	normal_down_77	1.23100906252861
chr2	207037389	207037784	396	*	liver_cancer_down_34	1.12118355749231
chr6	28752525	28752824	300	*	liver_cancer_up_19	0.0883637086053689
chr1	104719828	104720127	300	*	liver_cancer_down_178	3.77398323873679
chr18	77645897	77646642	746	*	liver_cancer_down_81	3.53818576936747
chr9	44992997	44993296	300	*	liver_cancer_down_45	23.1095292472839
chr4	74787480	74787779	300	*	liver_cancer_down_72	8.3879521698753
chr1	115335526	115335825	300	*	liver_cancer_down_102	1.46117838799953
chr5	154787887	154788186	300	*	brain_cancer_up_24	0
chr11	134393331	134394295	965	*	normal_up_26	0.0932685059586955
chr17	73892062	73892498	437	*	normal_down_71	0.129859528821857
chr1	121447122	121447421	300	*	normal_down_74	0.7510926314195
chr12	132072920	132073219	300	*	normal_down_19	0.2809649720788
chr7	61389907	61390206	300	*	liver_cancer_down_131	0.910623652140299
chr1	1013666	1014805	1140	*	liver_cancer_down_75	12.5684565574454
chr11	78901829	78902128	300	*	liver_cancer_down_56	0.957186863621076
chr1	93945980	93946279	300	*	liver_cancer_up_5	0.263504120707512
chr15	52789846	52790145	300	*	liver_cancer_down_138	0.908242812703053
chr3	163363192	163363491	300	*	liver_cancer_down_97	4.52639880418777
chr17	15540700	15540999	300	*	normal_up_75	0
chr21	45080114	45080413	300	*	normal_down_107	0.228052594860395
chr6	168378164	168378463	300	*	liver_cancer_down_154	8.58478665669759
chr12	15954381	15954680	300	*	liver_cancer_down_171	3.14538283278545
chr14	105987411	105987710	300	*	liver_cancer_down_181	0.991844617724419
chr2	90527748	90528047	300	*	normal_up_58	0.243397106553117
chr12	122185189	122185852	664	*	liver_cancer_down_68	4.08402332591723
chr6	26173340	26173639	300	*	normal_down_58	0
chr1	17222273	17222572	300	*	brain_cancer_up_9	0.100004620552063
chr6	43549400	43549699	300	*	normal_up_60	0
chr3	134248585	134248884	300	*	normal_down_47	0.415098341902097
chr22	28194171	28194470	300	*	brain_cancer_down_4	0.0190484670797984
chr17	41663	41962	300	*	normal_up_83	0.716699338555336
chr19	812746	813045	300	*	normal_up_50	0
chr15	46791637	46792143	507	*	liver_cancer_down_52	2.13011903534744
chr21	47425927	47426226	300	*	normal_up_55	0
chr17	65727356	65727655	300	*	liver_cancer_down_140	3.79409000664949
chr2	97127938	97128237	300	*	brain_cancer_down_13	0.00423298676808675
chr7	157346711	157347010	300	*	normal_up_74	0
chr19	15568113	15568465	353	*	normal_up_65	0.0422699103612062
chr6	27452935	27453234	300	*	brain_cancer_down_54	0
chr7	25044635	25044934	300	*	liver_cancer_down_86	3.62265355457862
chr16	33894134	33894521	388	*	liver_cancer_up_57	7.89493867908556
chr1	145075649	145075948	300	*	liver_cancer_up_13	0.101591895520687
chr1	1224023	1224322	300	*	liver_cancer_down_119	20.4109924570719
chr2	91600305	91600604	300	*	normal_down_5	3.83350982944171
