seqnames	start	end	width	strand	name	score
chr19	1194462	1194761	300	*	normal_down_112	0.0932915210723877
chr13	28503235	28503534	300	*	liver_cancer_up_42	0
chr1	147774724	147775138	415	*	liver_cancer_up_20	0.379347616793161
chr6	29521411	29521710	300	*	liver_cancer_up_52	0
chr4	7454571	7454870	300	*	brain_cancer_up_39	1.45379135330518
chr8	53852213	53852627	415	*	liver_cancer_up_25	0
chr10	35295004	35295303	300	*	liver_cancer_up_56	0.474231253663699
chr18	60618600	60618899	300	*	normal_down_70	0
chr11	69478996	69479295	300	*	liver_cancer_up_8	0.390657899975777
chr8	144358350	144358649	300	*	liver_cancer_up_27	0
chr4	988556	988855	300	*	normal_down_36	0.169090881943703
chr14	46326606	46326905	300	*	liver_cancer_up_28	0
chr2	204068233	204068532	300	*	liver_cancer_up_18	0
chr19	48983563	48983862	300	*	liver_cancer_up_23	0.232256789704164
chr1	160951915	160952299	385	*	liver_cancer_up_44	0.0431624732234261
chr7	129418295	129418594	300	*	liver_cancer_up_69	0.171034455299377
chr2	89852611	89852910	300	*	liver_cancer_down_139	75.5393210601807
chr11	69517700	69518273	574	*	liver_cancer_up_21	0
chr1	26659124	26659423	300	*	liver_cancer_down_164	2.04075002670288
chr10	35330496	35330795	300	*	liver_cancer_up_32	0.733697918653488
chr20	18190210	18190509	300	*	normal_down_81	0.890641284088294
chr1	161035722	161036021	300	*	liver_cancer_up_60	0.731754434307416
chr11	131550844	131551743	900	*	normal_down_60	0.516341946787304
chr19	835434	835733	300	*	normal_up_112	0
chr1	145969148	145969447	300	*	brain_cancer_up_13	0.00291536003351212
chr8	2129864	2130163	300	*	liver_cancer_down_179	1.47565629343192
chr11	69650079	69650455	377	*	liver_cancer_up_65	0
chr9	134391333	134391632	300	*	normal_down_44	1.05292970498403
chr19	433635	433934	300	*	normal_down_104	5.71507088502248
chr5	46383346	46383645	300	*	liver_cancer_down_189	0.874607026576996
chr11	103280915	103281514	600	*	brain_cancer_up_3	0.222053255885839
chr16	87196263	87196862	600	*	normal_down_33	1.84542073110739
chr7	63386705	63387004	300	*	liver_cancer_up_64	0
chr5	115264476	115264775	300	*	normal_down_118	0.648180707494418
chr1	76002602	76002901	300	*	liver_cancer_down_37	1.02571958775322
chr6	1927220	1927519	300	*	normal_down_69	4.63444536884626
chr13	61551933	61552232	300	*	normal_down_103	0
chr5	162486769	162487068	300	*	brain_cancer_up_31	0
chr9	2823955	2824254	300	*	liver_cancer_up_1	0
chr13	37574137	37574436	300	*	normal_down_82	0.218652002513409
chr1	147752954	147753553	600	*	liver_cancer_up_14	0.0286676769455274
chr4	2771680	2772060	381	*	liver_cancer_up_15	0.336681620968296
chr10	35199876	35200175	300	*	liver_cancer_down_2	2.73168922344844
chr5	68427903	68428202	300	*	normal_down_31	0.0971786677837372
chr10	42542408	42542707	300	*	liver_cancer_down_187	49.5999348831177
chr5	62006249	62006548	300	*	liver_cancer_up_29	0
chr1	25161244	25161621	378	*	liver_cancer_down_50	0.32739925033674
chr11	69464605	69464904	300	*	liver_cancer_up_11	0.38288363357385
chr14	77735923	77736222	300	*	liver_cancer_down_122	0.443620093464851
chr9	69703231	69703530	300	*	liver_cancer_down_123	8.06824961503347
chr10	61365646	61365945	300	*	liver_cancer_down_136	1.19966940099994
chr7	27182735	27183034	300	*	brain_cancer_down_45	0
chr6	1625273	1625572	300	*	liver_cancer_up_66	0
chr19	30386536	30386835	300	*	liver_cancer_up_41	0.27695887217919
chr14	50053157	50053756	600	*	liver_cancer_down_1	0.152570256789525
chr2	109816026	109816325	300	*	normal_down_42	12.2964886617661
chr2	10676231	10676640	410	*	liver_cancer_down_46	5.33439169133582
chr4	186198959	186199258	300	*	liver_cancer_down_141	2.48388395185272
chr19	431535	433034	1500	*	normal_down_45	5.85403619750341
chr10	79333224	79333523	300	*	liver_cancer_up_3	0.0427586138248444
chr22	24593475	24593774	300	*	liver_cancer_up_16	0.113699041306973
chr2	240981669	240981968	300	*	liver_cancer_down_153	1.30122083306313
chr3	49723977	49724276	300	*	liver_cancer_up_70	0.182695895433426
chr20	26312455	26312754	300	*	liver_cancer_down_184	28.009775352478
chr6	601535	602134	600	*	brain_cancer_up_37	1.50286639084419
chr5	80039381	80039680	300	*	liver_cancer_down_36	1.9294801992178
chr10	823521	823820	300	*	liver_cancer_down_98	1.29539023220539
chr2	131881185	131881484	300	*	liver_cancer_down_54	0.325547973016898
chr6	134995934	134996233	300	*	brain_cancer_up_17	0.109811806778113
chr2	87645236	87645535	300	*	liver_cancer_up_55	0.175407495349646
chr18	20798272	20798571	300	*	liver_cancer_down_116	1.9795272920529
chr10	134824482	134824781	300	*	normal_down_85	2.81623454650243
chr11	77907332	77907709	378	*	normal_up_85	0.0200527409712474
chr2	233764717	233765500	784	*	normal_down_38	2.65710226644059
chr21	9827129	9827584	456	*	brain_cancer_up_26	16.0609940043405
