seqnames	start	end	width	strand	name	score
chr19	1194462	1194761	300	*	normal_down_112	0.233794546723366
chr13	28503235	28503534	300	*	liver_cancer_up_42	0.277358615746101
chr1	147774724	147775138	415	*	liver_cancer_up_20	0.314221819409405
chr6	29521411	29521710	300	*	liver_cancer_up_52	0.0861603104074796
chr4	7454571	7454870	300	*	brain_cancer_up_39	1.09636470377445
chr8	53852213	53852627	415	*	liver_cancer_up_25	0.078905441980046
chr10	35295004	35295303	300	*	liver_cancer_up_56	1.0983009147644
chr18	60618600	60618899	300	*	normal_down_70	0.151022565414508
chr11	69478996	69479295	300	*	liver_cancer_up_8	0.763824786245823
chr8	144358350	144358649	300	*	liver_cancer_up_27	0
chr4	988556	988855	300	*	normal_down_36	0.630954221089681
chr14	46326606	46326905	300	*	liver_cancer_up_28	0.17353073567152
chr2	204068233	204068532	300	*	liver_cancer_up_18	0.290428012609482
chr19	48983563	48983862	300	*	liver_cancer_up_23	0.0752692588170369
chr1	160951915	160952299	385	*	liver_cancer_up_44	0.195755850339865
chr7	129418295	129418594	300	*	liver_cancer_up_69	0.41627989590168
chr2	89852611	89852910	300	*	liver_cancer_down_139	29.5590091514587
chr11	69517700	69518273	574	*	liver_cancer_up_21	0.0346590920971246
chr1	26659124	26659423	300	*	liver_cancer_down_164	3.13008493423462
chr10	35330496	35330795	300	*	liver_cancer_up_32	0.29042800317208
chr20	18190210	18190509	300	*	normal_down_81	0.387237176299095
chr1	161035722	161036021	300	*	liver_cancer_up_60	0.66217525968949
chr11	131550844	131551743	900	*	normal_down_60	2.8098883679178
chr19	835434	835733	300	*	normal_up_112	0.178129091858864
chr1	145969148	145969447	300	*	brain_cancer_up_13	0.178129181067149
chr8	2129864	2130163	300	*	liver_cancer_down_179	0.373199612796307
chr11	69650079	69650455	377	*	liver_cancer_up_65	0.1513769346776
chr9	134391333	134391632	300	*	normal_down_44	1.02738805651665
chr19	433635	433934	300	*	normal_down_104	6.15973028977712
chr5	46383346	46383645	300	*	liver_cancer_down_189	0.585937763750553
chr11	103280915	103281514	600	*	brain_cancer_up_3	0.198217085426052
chr16	87196263	87196862	600	*	normal_down_33	3.15283518830935
chr7	63386705	63387004	300	*	liver_cancer_up_64	0.0890645905335744
chr5	115264476	115264775	300	*	normal_down_118	0.569238138496876
chr1	76002602	76002901	300	*	liver_cancer_down_37	1.4289044978718
chr6	1927220	1927519	300	*	normal_down_69	3.76612172285716
chr13	61551933	61552232	300	*	normal_down_103	1.00947842160861
chr5	162486769	162487068	300	*	brain_cancer_up_31	0.426444718837738
chr9	2823955	2824254	300	*	liver_cancer_up_1	0.227017648145556
chr13	37574137	37574436	300	*	normal_down_82	0.102617897788684
chr1	147752954	147753553	600	*	liver_cancer_up_14	0.134322863419851
chr4	2771680	2772060	381	*	liver_cancer_up_15	0.522541343559587
chr10	35199876	35200175	300	*	liver_cancer_down_2	1.4088168344895
chr5	68427903	68428202	300	*	normal_down_31	0.256544647912184
chr10	42542408	42542707	300	*	liver_cancer_down_187	9.45608508745829
chr5	62006249	62006548	300	*	liver_cancer_up_29	0.487434643507004
chr1	25161244	25161621	378	*	liver_cancer_down_50	0.0545512661732063
chr11	69464605	69464904	300	*	liver_cancer_up_11	0.961799945135911
chr14	77735923	77736222	300	*	liver_cancer_down_122	0
chr9	69703231	69703530	300	*	liver_cancer_down_123	0.231374316712221
