seqnames	start	end	width	strand	name	score
chr19	1194462	1194761	300	*	normal_down_112	0.00187104006608327
chr13	28503235	28503534	300	*	liver_cancer_up_42	0.255864728788535
chr1	147774724	147775138	415	*	liver_cancer_up_20	0.207955959152026
chr6	29521411	29521710	300	*	liver_cancer_up_52	0.141263524989287
chr4	7454571	7454870	300	*	brain_cancer_up_39	1.12215626721581
chr8	53852213	53852627	415	*	liver_cancer_up_25	0.122068457323385
chr10	35295004	35295303	300	*	liver_cancer_up_56	0.474308642446995
chr18	60618600	60618899	300	*	normal_down_70	0.777417128483454
chr11	69478996	69479295	300	*	liver_cancer_up_8	0.689010490775108
chr8	144358350	144358649	300	*	liver_cancer_up_27	0
chr4	988556	988855	300	*	normal_down_36	1.60909375349681
chr14	46326606	46326905	300	*	liver_cancer_up_28	0.547279219230016
chr2	204068233	204068532	300	*	liver_cancer_up_18	0.561312019824982
chr19	48983563	48983862	300	*	liver_cancer_up_23	0.166522565881411
chr1	160951915	160952299	385	*	liver_cancer_up_44	0
chr7	129418295	129418594	300	*	liver_cancer_up_69	0.202540087153514
chr2	89852611	89852910	300	*	liver_cancer_down_139	26.3512506421407
chr11	69517700	69518273	574	*	liver_cancer_up_21	0.132993788669334
chr1	26659124	26659423	300	*	liver_cancer_down_164	0.264284400194883
chr10	35330496	35330795	300	*	liver_cancer_up_32	0.544004886647065
chr20	18190210	18190509	300	*	normal_down_81	0.989312389691671
chr1	161035722	161036021	300	*	liver_cancer_up_60	2.2363599562645
chr11	131550844	131551743	900	*	normal_down_60	1.01691009852621
chr19	835434	835733	300	*	normal_up_112	0.178684326310953
chr1	145969148	145969447	300	*	brain_cancer_up_13	0
chr8	2129864	2130163	300	*	liver_cancer_down_179	0.456533775031567
chr11	69650079	69650455	377	*	liver_cancer_up_65	0
chr9	134391333	134391632	300	*	normal_down_44	1.61190042535464
chr19	433635	433934	300	*	normal_down_104	3.85808342774709
chr5	46383346	46383645	300	*	liver_cancer_down_189	0
chr11	103280915	103281514	600	*	brain_cancer_up_3	0.0542601619164149
chr16	87196263	87196862	600	*	normal_down_33	2.81263990124067
chr7	63386705	63387004	300	*	liver_cancer_up_64	0.117875524163246
chr5	115264476	115264775	300	*	normal_down_118	0.390579613745213
chr1	76002602	76002901	300	*	liver_cancer_down_37	2.55256549884876
chr6	1927220	1927519	300	*	normal_down_69	3.48106862882773
chr13	61551933	61552232	300	*	normal_down_103	0.15997392565012
chr5	162486769	162487068	300	*	brain_cancer_up_31	0
chr9	2823955	2824254	300	*	liver_cancer_up_1	0.167925842106342
chr13	37574137	37574436	300	*	normal_down_82	0.289075690209866
chr1	147752954	147753553	600	*	liver_cancer_up_14	0.0841968029737473
chr4	2771680	2772060	381	*	liver_cancer_up_15	0.934414728850204
chr10	35199876	35200175	300	*	liver_cancer_down_2	0.805482730269432
chr5	68427903	68428202	300	*	normal_down_31	0.05145360181729
chr10	42542408	42542707	300	*	liver_cancer_down_187	8.88088833491008
chr5	62006249	62006548	300	*	liver_cancer_up_29	0
chr1	25161244	25161621	378	*	liver_cancer_down_50	0.0471472392479579
chr11	69464605	69464904	300	*	liver_cancer_up_11	0.635685859918594
chr14	77735923	77736222	300	*	liver_cancer_down_122	0.135650404791037
chr9	69703231	69703530	300	*	liver_cancer_down_123	0.414903133114179
chr10	61365646	61365945	300	*	liver_cancer_down_136	0.839161112407843
chr7	27182735	27183034	300	*	brain_cancer_down_45	0.357368652472893
chr6	1625273	1625572	300	*	liver_cancer_up_66	0
chr19	30386536	30386835	300	*	liver_cancer_up_41	3.13352317929268
chr14	50053157	50053756	600	*	liver_cancer_down_1	0.109689723874132
chr2	109816026	109816325	300	*	normal_down_42	13.8999513967832
chr2	10676231	10676640	410	*	liver_cancer_down_46	1.77771541523497
