seqnames	start	end	width	strand	name	score
chr19	1194462	1194761	300	*	normal_down_112	0.0900937175750732
chr13	28503235	28503534	300	*	liver_cancer_up_42	0
chr1	147774724	147775138	415	*	liver_cancer_up_20	0.220836590858827
chr6	29521411	29521710	300	*	liver_cancer_up_52	0
chr4	7454571	7454870	300	*	brain_cancer_up_39	0.168278495470683
chr8	53852213	53852627	415	*	liver_cancer_up_25	0
chr10	35295004	35295303	300	*	liver_cancer_up_56	0.652403562664986
chr18	60618600	60618899	300	*	normal_down_70	0
chr11	69478996	69479295	300	*	liver_cancer_up_8	0.629621206124624
chr8	144358350	144358649	300	*	liver_cancer_up_27	0.0269245592753092
chr4	988556	988855	300	*	normal_down_36	0.458753601312637
chr14	46326606	46326905	300	*	liver_cancer_up_28	0
chr2	204068233	204068532	300	*	liver_cancer_up_18	0.221609834035238
chr19	48983563	48983862	300	*	liver_cancer_up_23	0.29306347211202
chr1	160951915	160952299	385	*	liver_cancer_up_44	0
chr7	129418295	129418594	300	*	liver_cancer_up_69	0
chr2	89852611	89852910	300	*	liver_cancer_down_139	58.2187159601847
chr11	69517700	69518273	574	*	liver_cancer_up_21	0
chr1	26659124	26659423	300	*	liver_cancer_down_164	0.929415961503983
chr10	35330496	35330795	300	*	liver_cancer_up_32	0.558167632222176
chr20	18190210	18190509	300	*	normal_down_81	0.478946980237961
chr1	161035722	161036021	300	*	liver_cancer_up_60	0.260961112976074
chr11	131550844	131551743	900	*	normal_down_60	0.202969840102726
chr19	835434	835733	300	*	normal_up_112	0.158958479364713
chr1	145969148	145969447	300	*	brain_cancer_up_13	0
chr8	2129864	2130163	300	*	liver_cancer_down_179	1.99241917769114
chr11	69650079	69650455	377	*	liver_cancer_up_65	0
chr9	134391333	134391632	300	*	normal_down_44	0.331379461884499
chr19	433635	433934	300	*	normal_down_104	11.6376334540049
chr5	46383346	46383645	300	*	liver_cancer_down_189	0.11805383682251
chr11	103280915	103281514	600	*	brain_cancer_up_3	0
chr16	87196263	87196862	600	*	normal_down_33	0.486713606814543
chr7	63386705	63387004	300	*	liver_cancer_up_64	0.623407562971115
chr5	115264476	115264775	300	*	normal_down_118	0.416295585632324
chr1	76002602	76002901	300	*	liver_cancer_down_37	5.89596590439479
chr6	1927220	1927519	300	*	normal_down_69	4.79257568915685
chr13	61551933	61552232	300	*	normal_down_103	0
chr5	162486769	162487068	300	*	brain_cancer_up_31	0
chr9	2823955	2824254	300	*	liver_cancer_up_1	0
chr13	37574137	37574436	300	*	normal_down_82	0.0921648375193278
chr1	147752954	147753553	600	*	liver_cancer_up_14	0.0481535691022873
chr4	2771680	2772060	381	*	liver_cancer_up_15	0.383239216535423
chr10	35199876	35200175	300	*	liver_cancer_down_2	13.6823486804962
chr5	68427903	68428202	300	*	normal_down_31	0.37746221780777
chr10	42542408	42542707	300	*	liver_cancer_down_187	2.42062363982201
chr5	62006249	62006548	300	*	liver_cancer_up_29	0
chr1	25161244	25161621	378	*	liver_cancer_down_50	2.24782470152492
chr11	69464605	69464904	300	*	liver_cancer_up_11	0.326201739112536
chr14	77735923	77736222	300	*	liver_cancer_down_122	0.79013295729955
chr9	69703231	69703530	300	*	liver_cancer_down_123	0.4287223559618
chr10	61365646	61365945	300	*	liver_cancer_down_136	3.99467621544997
chr7	27182735	27183034	300	*	brain_cancer_down_45	0.161547355651855
chr6	1625273	1625572	300	*	liver_cancer_up_66	0
chr19	30386536	30386835	300	*	liver_cancer_up_41	2.31913861811161
chr14	50053157	50053756	600	*	liver_cancer_down_1	0.14912084877491
chr2	109816026	109816325	300	*	normal_down_42	47.2614465308189
chr2	10676231	10676640	410	*	liver_cancer_down_46	13.6061337392505
chr4	186198959	186199258	300	*	liver_cancer_down_141	8.14675772031148
chr19	431535	433034	1500	*	normal_down_45	8.70171479320526
chr10	79333224	79333523	300	*	liver_cancer_up_3	0.0289956792195638
chr22	24593475	24593774	300	*	liver_cancer_up_16	0.332415227293968
chr2	240981669	240981968	300	*	liver_cancer_down_153	5.159164574941
chr3	49723977	49724276	300	*	liver_cancer_up_70	0.158440675735474
chr20	26312455	26312754	300	*	liver_cancer_down_184	1.54143229285876
chr6	601535	602134	600	*	brain_cancer_up_37	25.3746076933543
chr5	80039381	80039680	300	*	liver_cancer_down_36	9.06012240568797
chr10	823521	823820	300	*	liver_cancer_down_98	18.4065772342682
chr2	131881185	131881484	300	*	liver_cancer_down_54	0.216949814160665
chr6	134995934	134996233	300	*	brain_cancer_up_17	0
chr2	87645236	87645535	300	*	liver_cancer_up_55	2.60650677641233
chr18	20798272	20798571	300	*	liver_cancer_down_116	16.2287927977244
chr10	134824482	134824781	300	*	normal_down_85	0.308597037196159
chr11	77907332	77907709	378	*	normal_up_85	0.129034202092539
chr2	233764717	233765500	784	*	normal_down_38	2.25016562785117
chr21	9827129	9827584	456	*	brain_cancer_up_26	17.0496246610817
chr12	132813407	132813970	564	*	normal_down_22	3.36226800908434
chr18	72627724	72628023	300	*	normal_down_100	1.61547504385312
chr1	16974552	16974926	375	*	liver_cancer_up_33	0.316467292308807
chr10	133765874	133766352	479	*	liver_cancer_down_64	2.47626615715425
chr6	29685554	29685853	300	*	liver_cancer_down_142	9.99264496008555
chr2	230049402	230049701	300	*	normal_down_49	1.21989084641139
chr12	63244486	63244785	300	*	brain_cancer_up_18	0.133587236404419
chr10	134387072	134387371	300	*	normal_down_106	2.50398643016815
chr17	19530990	19531352	363	*	normal_up_91	1.01587680417316
chr11	69462582	69463082	501	*	liver_cancer_up_35	0.220444274400761
chr12	75347200	75347499	300	*	brain_cancer_up_16	0
chr10	35501470	35501769	300	*	liver_cancer_up_68	0.632209918101629
chr12	127650489	127650982	494	*	brain_cancer_up_1	0
chr3	166735369	166735668	300	*	brain_cancer_up_34	2.11461552043756
chr19	50155132	50155431	300	*	normal_up_100	0
chr12	133159856	133160155	300	*	normal_up_70	0
chr10	7755889	7756188	300	*	liver_cancer_up_31	0.530207006136576
chr11	69465933	69466353	421	*	liver_cancer_up_12	0.475226652027592
chr1	156616535	156616834	300	*	liver_cancer_up_59	0.0755958779652913
chr19	7532280	7532579	300	*	brain_cancer_down_49	0.212290050983429
chr14	61192448	61192747	300	*	normal_down_56	0.249570003946622
chr1	102695616	102696011	396	*	liver_cancer_down_40	11.7775439713338
chr10	5411929	5413034	1106	*	normal_down_12	0.209827530879871
chr17	8199264	8199563	300	*	liver_cancer_up_7	0
chr4	9256799	9257098	300	*	normal_down_86	2.99691341876984
chr14	50329282	50329581	300	*	brain_cancer_up_32	0
chr20	62766477	62766776	300	*	normal_down_53	0.510531537731489
chr22	44230302	44230853	552	*	normal_up_106	0
chr10	135478947	135479246	300	*	normal_up_110	2.1689823470513
chr17	81153421	81153720	300	*	brain_cancer_down_36	1.40939831912518
chr21	45830362	45830661	300	*	normal_down_116	0.921649300853411
chr7	64029866	64030165	300	*	liver_cancer_up_53	0.665865737597148
chr7	6693256	6693555	300	*	normal_up_103	0
chr1	149224070	149224369	300	*	brain_cancer_up_22	0
chr6	106983610	106983909	300	*	liver_cancer_down_74	14.2969538619121
chr16	21530186	21530485	300	*	normal_down_117	0
chr15	21359962	21360261	300	*	normal_up_49	0.0859515688816706
chr4	187882583	187882882	300	*	brain_cancer_up_36	1.48551217516263
chr2	185918218	185918517	300	*	liver_cancer_down_28	11.9653885052601
chr2	217092134	217092569	436	*	liver_cancer_down_31	4.14200623060038
chr15	65438064	65438363	300	*	liver_cancer_down_146	4.30586224595706
chr4	187886732	187887031	300	*	liver_cancer_down_185	2.88921492576599
chr11	11268517	11268816	300	*	normal_down_59	2.92131737609704
chr14	102973580	102973879	300	*	normal_up_59	0.0610980383555094
chr1	161439726	161440025	300	*	brain_cancer_down_59	1.28616671363513
chr2	91750677	91751014	338	*	normal_up_27	0.28814935507859
chr9	79186659	79187094	436	*	brain_cancer_up_4	0
chr10	35502059	35502358	300	*	liver_cancer_up_63	0
chr20	54463240	54463539	300	*	liver_cancer_down_104	7.20387949903806
chr15	20353347	20353734	388	*	normal_up_9	0.254619896565516
chr14	31943044	31943343	300	*	liver_cancer_down_71	10.3695892435312
chr7	63225296	63225595	300	*	liver_cancer_up_71	0.693308186332385
chr8	145105453	145106374	922	*	liver_cancer_up_30	0
chr4	191003878	191004177	300	*	normal_up_71	4.69575094620387
chr6	10070809	10071108	300	*	liver_cancer_down_152	9.13416498104731
chr22	29163891	29164382	492	*	liver_cancer_down_109	2.12763568080538
chr6	52860193	52860728	536	*	brain_cancer_up_8	0.171563172184709
chr3	192306054	192306353	300	*	liver_cancer_down_47	4.07389655093352
chr7	1786041	1786430	390	*	brain_cancer_down_10	0.0254907070062099
chr11	69956099	69956398	300	*	normal_down_27	0.0662758382161458
