seqnames	start	end	width	strand	name	score
chr19	1194462	1194761	300	*	normal_down_112	0.333647977511088
chr13	28503235	28503534	300	*	liver_cancer_up_42	0
chr1	147774724	147775138	415	*	liver_cancer_up_20	0.364248333781599
chr6	29521411	29521710	300	*	liver_cancer_up_52	0
chr4	7454571	7454870	300	*	brain_cancer_up_39	4.58831786791484
chr8	53852213	53852627	415	*	liver_cancer_up_25	0
chr10	35295004	35295303	300	*	liver_cancer_up_56	0.328934099475543
chr18	60618600	60618899	300	*	normal_down_70	0.314267992973328
chr11	69478996	69479295	300	*	liver_cancer_up_8	0.207416875362396
chr8	144358350	144358649	300	*	liver_cancer_up_27	0
chr4	988556	988855	300	*	normal_down_36	0.0979468746980031
chr14	46326606	46326905	300	*	liver_cancer_up_28	0.137754136919975
chr2	204068233	204068532	300	*	liver_cancer_up_18	0
chr19	48983563	48983862	300	*	liver_cancer_up_23	0
chr1	160951915	160952299	385	*	liver_cancer_up_44	0
chr7	129418295	129418594	300	*	liver_cancer_up_69	0
chr2	89852611	89852910	300	*	liver_cancer_down_139	40.8779318110148
chr11	69517700	69518273	574	*	liver_cancer_up_21	0
chr1	26659124	26659423	300	*	liver_cancer_down_164	1.03865679383278
chr10	35330496	35330795	300	*	liver_cancer_up_32	0.324743697444598
chr20	18190210	18190509	300	*	normal_down_81	3.89273731470108
chr1	161035722	161036021	300	*	liver_cancer_up_60	0.625393903454145
chr11	131550844	131551743	900	*	normal_down_60	2.00747633735339
chr19	835434	835733	300	*	normal_up_112	0
chr1	145969148	145969447	300	*	brain_cancer_up_13	0
chr8	2129864	2130163	300	*	liver_cancer_down_179	3.16153949975967
chr11	69650079	69650455	377	*	liver_cancer_up_65	0
chr9	134391333	134391632	300	*	normal_down_44	3.76336344480515
chr19	433635	433934	300	*	normal_down_104	38.6288178698222
chr5	46383346	46383645	300	*	liver_cancer_down_189	0.0523779988288879
chr11	103280915	103281514	600	*	brain_cancer_up_3	0
chr16	87196263	87196862	600	*	normal_down_33	14.5828370857239
chr7	63386705	63387004	300	*	liver_cancer_up_64	0
chr5	115264476	115264775	300	*	normal_down_118	1.52786794225375
chr1	76002602	76002901	300	*	liver_cancer_down_37	2.83155782302221
chr6	1927220	1927519	300	*	normal_down_69	10.9480617173513
chr13	61551933	61552232	300	*	normal_down_103	1.54043857852618
chr5	162486769	162487068	300	*	brain_cancer_up_31	0.25769989947478
chr9	2823955	2824254	300	*	liver_cancer_up_1	0.0785671198368073
chr13	37574137	37574436	300	*	normal_down_82	1.65828915615877
chr1	147752954	147753553	600	*	liver_cancer_up_14	0.0591872045397758
chr4	2771680	2772060	381	*	liver_cancer_up_15	1.29212979835475
chr10	35199876	35200175	300	*	liver_cancer_down_2	8.00022452831268
chr5	68427903	68428202	300	*	normal_down_31	0.00576157987117767
chr10	42542408	42542707	300	*	liver_cancer_down_187	5.40489178737005
chr5	62006249	62006548	300	*	liver_cancer_up_29	0
chr1	25161244	25161621	378	*	liver_cancer_down_50	0.643917557739076
chr11	69464605	69464904	300	*	liver_cancer_up_11	0.187513235807419
chr14	77735923	77736222	300	*	liver_cancer_down_122	0.166038256287575
chr9	69703231	69703530	300	*	liver_cancer_down_123	0.323696073293686
chr10	61365646	61365945	300	*	liver_cancer_down_136	2.85041388312976
chr7	27182735	27183034	300	*	brain_cancer_down_45	0
chr6	1625273	1625572	300	*	liver_cancer_up_66	0
chr19	30386536	30386835	300	*	liver_cancer_up_41	3.39566935976346
chr14	50053157	50053756	600	*	liver_cancer_down_1	0.306673455834389
chr2	109816026	109816325	300	*	normal_down_42	90.9440220918258
chr2	10676231	10676640	410	*	liver_cancer_down_46	9.81705325144093
chr4	186198959	186199258	300	*	liver_cancer_down_141	3.05678343852361
chr19	431535	433034	1500	*	normal_down_45	36.0077150650024
chr10	79333224	79333523	300	*	liver_cancer_up_3	0.791956195632617
chr22	24593475	24593774	300	*	liver_cancer_up_16	0.885712908307711
chr2	240981669	240981968	300	*	liver_cancer_down_153	3.09292426029841
chr3	49723977	49724276	300	*	liver_cancer_up_70	0
chr20	26312455	26312754	300	*	liver_cancer_down_184	1.45192002753417
chr6	601535	602134	600	*	brain_cancer_up_37	15.6673245779673
chr5	80039381	80039680	300	*	liver_cancer_down_36	1.51424959679445
chr10	823521	823820	300	*	liver_cancer_down_98	0.698723207910856
chr2	131881185	131881484	300	*	liver_cancer_down_54	0.164990696310997
chr6	134995934	134996233	300	*	brain_cancer_up_17	0
chr2	87645236	87645535	300	*	liver_cancer_up_55	0.0921852779388428
chr18	20798272	20798571	300	*	liver_cancer_down_116	1.7871392762661
chr10	134824482	134824781	300	*	normal_down_85	12.342365714709
chr11	77907332	77907709	378	*	normal_up_85	0
chr2	233764717	233765500	784	*	normal_down_38	24.9125810964983
chr21	9827129	9827584	456	*	brain_cancer_up_26	53.6899216598586
chr12	132813407	132813970	564	*	normal_down_22	10.7987954312182
chr18	72627724	72628023	300	*	normal_down_100	7.36278357028961
chr1	16974552	16974926	375	*	liver_cancer_up_33	0.139954139868418
chr10	133765874	133766352	479	*	liver_cancer_down_64	1.96532521715742
chr6	29685554	29685853	300	*	liver_cancer_down_142	1.20783800284068
chr2	230049402	230049701	300	*	normal_down_49	0.987850127021472
chr12	63244486	63244785	300	*	brain_cancer_up_18	0
chr10	134387072	134387371	300	*	normal_down_106	20.5693871498108
chr17	19530990	19531352	363	*	normal_up_91	0
chr11	69462582	69463082	501	*	liver_cancer_up_35	0
chr12	75347200	75347499	300	*	brain_cancer_up_16	0
chr10	35501470	35501769	300	*	liver_cancer_up_68	1.63943318406741
chr12	127650489	127650982	494	*	brain_cancer_up_1	0.181626821457133
chr3	166735369	166735668	300	*	brain_cancer_up_34	12.368554614385
chr19	50155132	50155431	300	*	normal_up_100	0.157133996486664
chr12	133159856	133160155	300	*	normal_up_70	0
chr10	7755889	7756188	300	*	liver_cancer_up_31	3.97235191424688
