seqnames	start	end	width	strand	name	score
chr11	67032816	67033358	543	*	liver_cancer_up_20	-1
chr4	84127329	84128515	1187	*	brain_cancer_down_1	1
chr6	169309818	169309887	70	*	normal_down_112	-0.0987872430546717
chr10	132905503	132906176	674	*	brain_cancer_down_2	NA
chr7	129790562	129790838	277	*	liver_cancer_up_7	-0.102987289705942
chr10	48359282	48359429	148	*	liver_cancer_down_42	-1
chr17	38325034	38325142	109	*	liver_cancer_up_8	NA
chr21	44328289	44328970	682	*	normal_down_31	0.202900958505083
chr7	55810138	55810197	60	*	liver_cancer_up_5	NA
chr2	2478526	2478581	56	*	liver_cancer_down_70	1
chr5	5533013	5533066	54	*	liver_cancer_down_29	NA
chr5	171254346	171254401	56	*	normal_down_86	-0.723219211612429
chr16	89253462	89253573	112	*	liver_cancer_up_16	NA
chr12	127650489	127650679	191	*	liver_cancer_down_60	1
chr20	60329784	60329983	200	*	brain_cancer_up_7	1
chr4	104455963	104456273	311	*	liver_cancer_down_78	-0.843145922772468
chr18	72838280	72839024	745	*	normal_down_87	-1
chr8	145621992	145622370	379	*	liver_cancer_up_13	0.390909763673941
chr6	100940347	100940423	77	*	normal_up_2	NA
chr5	1972442	1972714	273	*	liver_cancer_down_54	-1
chr9	79186690	79186732	43	*	liver_cancer_down_104	NA
chr12	130861116	130861522	407	*	liver_cancer_down_80	NA
chr11	70552073	70552180	108	*	normal_up_4	1
chr10	134537000	134537403	404	*	brain_cancer_up_8	-0.994444434841474
chr4	7454271	7454605	335	*	normal_down_4	-1
chr6	167907381	167907554	174	*	normal_down_34	0.849052700160564
chr19	54349467	54350136	670	*	liver_cancer_down_50	-0.668970799925339
chr4	182772716	182772799	84	*	normal_down_97	NA
chr15	26585397	26585664	268	*	liver_cancer_down_77	-1
chr2	551548	551752	205	*	normal_up_6	1
chr5	162352077	162352578	502	*	liver_cancer_down_87	-0.946280612800661
chr3	13142623	13143148	526	*	liver_cancer_down_108	-0.330983931312756
chr15	68834051	68834393	343	*	liver_cancer_down_94	0.876442979387686
chr21	42457362	42458017	656	*	liver_cancer_down_85	-0.62588417055932
chr21	39133373	39134124	752	*	brain_cancer_up_18	-1
chr2	207037485	207037692	208	*	liver_cancer_down_18	-1
chr14	78599599	78599637	39	*	liver_cancer_down_64	0.724522917698591
chr21	45789393	45789914	522	*	liver_cancer_up_4	NA
chr20	24188565	24188682	118	*	normal_down_7	-0.675683991383698
