seqnames	start	end	width	strand	name	score
chr19	1194462	1194761	300	*	normal_down_112	0.0120474199950695
chr13	28503235	28503534	300	*	liver_cancer_up_42	0
chr1	147774724	147775138	415	*	liver_cancer_up_20	0.0105563373450773
chr6	29521411	29521710	300	*	liver_cancer_up_52	0.14237859994173
chr4	7454571	7454870	300	*	brain_cancer_up_39	1.15180636167526
chr8	53852213	53852627	415	*	liver_cancer_up_25	0.440463180355279
chr10	35295004	35295303	300	*	liver_cancer_up_56	0.347914896309376
chr18	60618600	60618899	300	*	normal_down_70	0.263217872480551
chr11	69478996	69479295	300	*	liver_cancer_up_8	0.151870506604513
chr8	144358350	144358649	300	*	liver_cancer_up_27	0
chr4	988556	988855	300	*	normal_down_36	0.293153886497021
chr14	46326606	46326905	300	*	liver_cancer_up_28	0.526435733238856
chr2	204068233	204068532	300	*	liver_cancer_up_18	0.127775666614374
chr19	48983563	48983862	300	*	liver_cancer_up_23	0.116093319952488
chr1	160951915	160952299	385	*	liver_cancer_up_44	0.386313967116467
chr7	129418295	129418594	300	*	liver_cancer_up_69	0.0189838133255641
chr2	89852611	89852910	300	*	liver_cancer_down_139	19.4529339313507
chr11	69517700	69518273	574	*	liver_cancer_up_21	0
chr1	26659124	26659423	300	*	liver_cancer_down_164	0.310677399883668
chr10	35330496	35330795	300	*	liver_cancer_up_32	0.376025534470876
chr20	18190210	18190509	300	*	normal_down_81	1.13866373300552
chr1	161035722	161036021	300	*	liver_cancer_up_60	1.07550604442755
chr11	131550844	131551743	900	*	normal_down_60	0.114876411673095
chr19	835434	835733	300	*	normal_up_112	0.148219773322344
chr1	145969148	145969447	300	*	brain_cancer_up_13	0
chr8	2129864	2130163	300	*	liver_cancer_down_179	0.814843671619892
chr11	69650079	69650455	377	*	liver_cancer_up_65	0.103421304997462
chr9	134391333	134391632	300	*	normal_down_44	0.105506193290154
chr19	433635	433934	300	*	normal_down_104	3.79639759063721
chr5	46383346	46383645	300	*	liver_cancer_down_189	0.128140740394592
chr11	103280915	103281514	600	*	brain_cancer_up_3	0.0876175999641418
chr16	87196263	87196862	600	*	normal_down_33	1.99147499303023
chr7	63386705	63387004	300	*	liver_cancer_up_64	0.481531738042831
chr5	115264476	115264775	300	*	normal_down_118	0.459627333084742
chr1	76002602	76002901	300	*	liver_cancer_down_37	0.799510613183181
chr6	1927220	1927519	300	*	normal_down_69	1.53951424429814
chr13	61551933	61552232	300	*	normal_down_103	0
chr5	162486769	162487068	300	*	brain_cancer_up_31	0.512562966148059
