seqnames	start	end	width	strand	name	score
chr19	1194462	1194761	300	*	normal_down_112	0.0188076666990916
chr13	28503235	28503534	300	*	liver_cancer_up_42	0
chr1	147774724	147775138	415	*	liver_cancer_up_20	0.125562168891171
chr6	29521411	29521710	300	*	liver_cancer_up_52	0
chr4	7454571	7454870	300	*	brain_cancer_up_39	0.251137667099635
chr8	53852213	53852627	415	*	liver_cancer_up_25	0
chr10	35295004	35295303	300	*	liver_cancer_up_56	0.212416000366211
chr18	60618600	60618899	300	*	normal_down_70	0
chr11	69478996	69479295	300	*	liver_cancer_up_8	0.04867866675059
chr8	144358350	144358649	300	*	liver_cancer_up_27	0
chr4	988556	988855	300	*	normal_down_36	0.571974334319433
chr14	46326606	46326905	300	*	liver_cancer_up_28	0
chr2	204068233	204068532	300	*	liver_cancer_up_18	0
chr19	48983563	48983862	300	*	liver_cancer_up_23	0
chr1	160951915	160952299	385	*	liver_cancer_up_44	0.0775870131207751
chr7	129418295	129418594	300	*	liver_cancer_up_69	0.171481666962306
chr2	89852611	89852910	300	*	liver_cancer_down_139	23.3901008160909
chr11	69517700	69518273	574	*	liver_cancer_up_21	0
chr1	26659124	26659423	300	*	liver_cancer_down_164	0.177013333638509
chr10	35330496	35330795	300	*	liver_cancer_up_32	0
chr20	18190210	18190509	300	*	normal_down_81	0.765029501318932
chr1	161035722	161036021	300	*	liver_cancer_up_60	1.28334665238857
chr11	131550844	131551743	900	*	normal_down_60	0.611064778367678
chr19	835434	835733	300	*	normal_up_112	0
chr1	145969148	145969447	300	*	brain_cancer_up_13	0.0796560001373291
chr8	2129864	2130163	300	*	liver_cancer_down_179	0.294284667174021
chr11	69650079	69650455	377	*	liver_cancer_up_65	0.00264111406290879
chr9	134391333	134391632	300	*	normal_down_44	0.0625078334410985
chr19	433635	433934	300	*	normal_down_104	0.772220665216446
chr5	46383346	46383645	300	*	liver_cancer_down_189	0.100123166839282
chr11	103280915	103281514	600	*	brain_cancer_up_3	0
chr16	87196263	87196862	600	*	normal_down_33	1.25181616882483
chr7	63386705	63387004	300	*	liver_cancer_up_64	0
chr5	115264476	115264775	300	*	normal_down_118	0.437001667420069
chr1	76002602	76002901	300	*	liver_cancer_down_37	0.943149150013924
chr6	1927220	1927519	300	*	normal_down_69	2.11641563534737
chr13	61551933	61552232	300	*	normal_down_103	0.237861667076747
chr5	162486769	162487068	300	*	brain_cancer_up_31	0
chr9	2823955	2824254	300	*	liver_cancer_up_1	0
chr13	37574137	37574436	300	*	normal_down_82	0.168162666956584
chr1	147752954	147753553	600	*	liver_cancer_up_14	0
chr4	2771680	2772060	381	*	liver_cancer_up_15	0.568846982138676
chr10	35199876	35200175	300	*	liver_cancer_down_2	0.928766834934552
chr5	68427903	68428202	300	*	normal_down_31	0.230117333730062
chr10	42542408	42542707	300	*	liver_cancer_down_187	5.34469635645549
chr5	62006249	62006548	300	*	liver_cancer_up_29	0
chr1	25161244	25161621	378	*	liver_cancer_down_50	0.0237071428980146
chr11	69464605	69464904	300	*	liver_cancer_up_11	0
chr14	77735923	77736222	300	*	liver_cancer_down_122	0.0818686668078105
chr9	69703231	69703530	300	*	liver_cancer_down_123	0.233989500403404
chr10	61365646	61365945	300	*	liver_cancer_down_136	0.347388667265574
