seqnames	start	end	width	strand	name	score
chr19	1194462	1194761	300	*	normal_down_112	0.290118650197983
chr13	28503235	28503534	300	*	liver_cancer_up_42	0
chr1	147774724	147775138	415	*	liver_cancer_up_20	0.153169450415186
chr6	29521411	29521710	300	*	liver_cancer_up_52	0.0130390405654907
chr4	7454571	7454870	300	*	brain_cancer_up_39	0.553615926106771
chr8	53852213	53852627	415	*	liver_cancer_up_25	0
chr10	35295004	35295303	300	*	liver_cancer_up_56	0.220848749577999
chr18	60618600	60618899	300	*	normal_down_70	0.00706281344095866
chr11	69478996	69479295	300	*	liver_cancer_up_8	0.106485497951508
chr8	144358350	144358649	300	*	liver_cancer_up_27	0.774193262259165
chr4	988556	988855	300	*	normal_down_36	0.864379690289497
chr14	46326606	46326905	300	*	liver_cancer_up_28	0.2390490625302
chr2	204068233	204068532	300	*	liver_cancer_up_18	0.0950763374567032
chr19	48983563	48983862	300	*	liver_cancer_up_23	0.149948966503143
chr1	160951915	160952299	385	*	liver_cancer_up_44	0
chr7	129418295	129418594	300	*	liver_cancer_up_69	0
chr2	89852611	89852910	300	*	liver_cancer_down_139	23.4966334788005
chr11	69517700	69518273	574	*	liver_cancer_up_21	0
chr1	26659124	26659423	300	*	liver_cancer_down_164	0.534057345986366
chr10	35330496	35330795	300	*	liver_cancer_up_32	0.532427477439245
chr20	18190210	18190509	300	*	normal_down_81	2.04006741603216
chr1	161035722	161036021	300	*	liver_cancer_up_60	1.317758530279
chr11	131550844	131551743	900	*	normal_down_60	1.64998270365927
chr19	835434	835733	300	*	normal_up_112	0.161901410718759
chr1	145969148	145969447	300	*	brain_cancer_up_13	0.258607637882233
chr8	2129864	2130163	300	*	liver_cancer_down_179	0.421052419642607
chr11	69650079	69650455	377	*	liver_cancer_up_65	0.273231878679058
chr9	134391333	134391632	300	*	normal_down_44	1.67470270077387
chr19	433635	433934	300	*	normal_down_104	5.55028749465942
chr5	46383346	46383645	300	*	liver_cancer_down_189	0.154295313358307
chr11	103280915	103281514	600	*	brain_cancer_up_3	0.120339478552341
chr16	87196263	87196862	600	*	normal_down_33	2.63443062712749
chr7	63386705	63387004	300	*	liver_cancer_up_64	0.0168420940637589
chr5	115264476	115264775	300	*	normal_down_118	0.716603917777538
chr1	76002602	76002901	300	*	liver_cancer_down_37	1.94064472397168
chr6	1927220	1927519	300	*	normal_down_69	3.39775813529889
chr13	61551933	61552232	300	*	normal_down_103	0.327605893909931
chr5	162486769	162487068	300	*	brain_cancer_up_31	0.517758553723494
chr9	2823955	2824254	300	*	liver_cancer_up_1	0.0782342432936033
chr13	37574137	37574436	300	*	normal_down_82	0.18960938145717
chr1	147752954	147753553	600	*	liver_cancer_up_14	0.039660412967205
chr4	2771680	2772060	381	*	liver_cancer_up_15	1.0994208078059
chr10	35199876	35200175	300	*	liver_cancer_down_2	0.845364667574565
chr5	68427903	68428202	300	*	normal_down_31	0.351510800222556
chr10	42542408	42542707	300	*	liver_cancer_down_187	5.72495630741119
chr5	62006249	62006548	300	*	liver_cancer_up_29	0
