seqnames	start	end	width	strand	name	score
chr11	67032816	67033358	543	*	liver_cancer_up_20	-1
chr4	84127329	84128515	1187	*	brain_cancer_down_1	0.974345534883869
chr6	169309818	169309887	70	*	normal_down_112	NA
chr10	132905503	132906176	674	*	brain_cancer_down_2	0.600000023841858
chr7	129790562	129790838	277	*	liver_cancer_up_7	-0.752520744324712
chr10	48359282	48359429	148	*	liver_cancer_down_42	-1
chr17	38325034	38325142	109	*	liver_cancer_up_8	0.396897902045775
chr21	44328289	44328970	682	*	normal_down_31	-0.0699939880615626
chr7	55810138	55810197	60	*	liver_cancer_up_5	-1
chr2	2478526	2478581	56	*	liver_cancer_down_70	0.959183641842433
chr5	5533013	5533066	54	*	liver_cancer_down_29	NA
chr5	171254346	171254401	56	*	normal_down_86	-0.773809407438551
chr16	89253462	89253573	112	*	liver_cancer_up_16	NA
chr12	127650489	127650679	191	*	liver_cancer_down_60	NA
chr20	60329784	60329983	200	*	brain_cancer_up_7	0.899086704051573
chr4	104455963	104456273	311	*	liver_cancer_down_78	-1
chr18	72838280	72839024	745	*	normal_down_87	-1
chr8	145621992	145622370	379	*	liver_cancer_up_13	0.020289817582006
chr6	100940347	100940423	77	*	normal_up_2	-1
chr5	1972442	1972714	273	*	liver_cancer_down_54	NA
chr9	79186690	79186732	43	*	liver_cancer_down_104	NA
chr12	130861116	130861522	407	*	liver_cancer_down_80	1
chr11	70552073	70552180	108	*	normal_up_4	NA
chr10	134537000	134537403	404	*	brain_cancer_up_8	-0.862378079988803
chr4	7454271	7454605	335	*	normal_down_4	NA
chr6	167907381	167907554	174	*	normal_down_34	1
chr19	54349467	54350136	670	*	liver_cancer_down_50	-1
chr4	182772716	182772799	84	*	normal_down_97	NA
chr15	26585397	26585664	268	*	liver_cancer_down_77	-0.200000002980232
chr2	551548	551752	205	*	normal_up_6	NA
chr5	162352077	162352578	502	*	liver_cancer_down_87	-0.509877996891737
chr3	13142623	13143148	526	*	liver_cancer_down_108	0.0698795282697103
chr15	68834051	68834393	343	*	liver_cancer_down_94	0.822908909187704
chr21	42457362	42458017	656	*	liver_cancer_down_85	NA
chr21	39133373	39134124	752	*	brain_cancer_up_18	-1
chr2	207037485	207037692	208	*	liver_cancer_down_18	-1
chr14	78599599	78599637	39	*	liver_cancer_down_64	NA
chr21	45789393	45789914	522	*	liver_cancer_up_4	-1
chr20	24188565	24188682	118	*	normal_down_7	-0.200000002980232
chr8	101139073	101139308	236	*	liver_cancer_down_22	-0.0535680061774486
chr1	116248770	116249071	302	*	normal_down_100	-0.795580605024933
chr10	99600537	99600912	376	*	liver_cancer_down_90	0.202380958944559
chr4	56508220	56508869	650	*	liver_cancer_down_31	-0.74650204696773
chr3	133775413	133775797	385	*	normal_down_15	-1
chr14	98724013	98724302	290	*	liver_cancer_down_98	1
chr2	154849974	154850164	191	*	liver_cancer_down_82	-1
chr16	32351392	32351631	240	*	liver_cancer_up_3	-1
chr11	126733331	126733510	180	*	normal_down_9	-0.695300218297376
chr17	72510371	72511515	1145	*	liver_cancer_up_18	-1
chr17	4365160	4366649	1490	*	normal_up_1	1
chr6	150376355	150376445	91	*	normal_down_102	1
chr19	13633988	13634111	124	*	liver_cancer_down_88	1
chr3	194003478	194003565	88	*	brain_cancer_up_3	-0.737594749439846
chr5	177721238	177722055	818	*	brain_cancer_up_13	NA
chr8	57223004	57223255	252	*	liver_cancer_down_102	-0.600000023841858
chr22	41962885	41962926	42	*	liver_cancer_down_107	-1
chr21	44083081	44083458	378	*	normal_down_67	0.886352707568864
chr5	120033246	120033346	101	*	liver_cancer_down_7	-1
chr20	24189111	24189367	257	*	normal_down_46	-0.599032245635986
chr15	73628698	73629333	636	*	liver_cancer_down_43	NA
chr22	42140658	42140724	67	*	liver_cancer_down_6	0.231507579711351
chr3	85742105	85742679	575	*	liver_cancer_down_74	-0.440141111060425
chr11	133611151	133611190	40	*	normal_down_78	1
chr1	5869079	5869256	178	*	normal_down_43	NA
chr4	185397287	185397514	228	*	normal_up_3	NA
chr12	132017897	132018242	346	*	liver_cancer_down_93	-0.311302713853008
chr11	69410425	69410647	223	*	normal_down_51	1
chr7	130418037	130418101	65	*	liver_cancer_up_15	NA
chr22	26723388	26723683	296	*	normal_down_38	1
chr4	3588046	3588284	239	*	normal_down_80	-0.927634374277126
chr2	130888117	130888531	415	*	liver_cancer_down_61	NA
chr22	40014071	40014370	300	*	liver_cancer_up_14	-1
chr7	153097820	153098427	608	*	liver_cancer_down_91	1
chr9	79186734	79186788	55	*	brain_cancer_up_20	NA
chr2	90480857	90481090	234	*	liver_cancer_up_19	-1
chr2	217092270	217092474	205	*	liver_cancer_down_4	-1
chr2	5649462	5650301	840	*	normal_down_119	-1
chr20	46462454	46462941	488	*	normal_down_83	NA
chr10	5411929	5412054	126	*	normal_down_6	-1
chr9	79186795	79186844	50	*	liver_cancer_up_21	NA
chr2	71771003	71771097	95	*	liver_cancer_down_71	-1
chr9	79186861	79186936	76	*	liver_cancer_up_6	NA
chr5	1972753	1972909	157	*	liver_cancer_down_86	NA
chr15	66645870	66646425	556	*	liver_cancer_up_1	-0.381469846095728
chr12	132640508	132641180	673	*	normal_down_47	1
chr7	154900331	154900407	77	*	normal_down_111	-0.600000023841858
chr9	139932950	139933208	259	*	liver_cancer_up_17	-0.121409628583097
chr4	111154925	111155360	436	*	normal_down_74	-1
chr19	50968480	50968651	172	*	liver_cancer_down_35	NA
chr22	25295520	25296032	513	*	liver_cancer_down_109	0.512104677071549
chr5	536790	537274	485	*	normal_down_69	-0.18977482758232
chr4	183880454	183881804	1351	*	normal_down_2	1
chr3	182894517	182894667	151	*	normal_up_5	NA
chr21	46896539	46897182	644	*	normal_down_110	-0.99160839210857
chr7	155639624	155639820	197	*	normal_down_73	-1
chr5	115264476	115264691	216	*	normal_down_109	-0.600000023841858
chr20	24789301	24789523	223	*	liver_cancer_down_12	-1
chr2	129543895	129544044	150	*	liver_cancer_down_58	1
chr16	26825105	26825173	69	*	normal_down_5	NA
chr10	120573219	120573836	618	*	liver_cancer_down_73	NA
chr1	30298212	30298367	156	*	normal_down_105	1
chr2	1601442	1601661	220	*	normal_down_12	0.754394821687178
chr3	178659146	178659907	762	*	liver_cancer_down_52	1
chr17	78328252	78329447	1196	*	liver_cancer_down_75	-1
chr9	130686701	130687245	545	*	brain_cancer_up_10	0.712719311055384
chr8	15507041	15507088	48	*	liver_cancer_down_48	-0.255379112103047
chr10	135132874	135133121	248	*	liver_cancer_up_9	1
chr9	44742017	44742530	514	*	normal_down_106	-0.042105263785312
chr18	75894449	75894716	268	*	normal_down_49	-1
chr20	51624181	51624257	77	*	brain_cancer_up_5	-1
chr12	50272748	50273359	612	*	normal_down_114	-1
chr2	240564270	240565818	1549	*	normal_down_57	-0.876945990081589
chr7	61610839	61611660	822	*	liver_cancer_down_56	-0.709809432754375
chr13	111033131	111033313	183	*	normal_down_79	1
chr6	109712351	109712486	136	*	liver_cancer_down_105	-0.185235188397415
chr5	78917303	78918066	764	*	brain_cancer_up_17	NA
chr22	41142390	41142511	122	*	liver_cancer_down_1	-0.98451729485246
chr22	24593475	24593540	66	*	liver_cancer_up_2	-0.238095243062292
chr10	29984748	29984887	140	*	liver_cancer_down_51	1
chr9	129348189	129348596	408	*	liver_cancer_down_101	-1
chr22	36029779	36029846	68	*	normal_down_89	-0.584405592259239
chr2	728445	728916	472	*	normal_down_64	-0.703786975985405
chr10	13350821	13350886	66	*	liver_cancer_down_10	-0.719516379363609
chr12	131248474	131249197	724	*	normal_down_84	-1
chr11	1141700	1142402	703	*	normal_down_3	-0.771986949327326
chr20	25498760	25498802	43	*	normal_down_81	NA
chr11	68478606	68478806	201	*	normal_down_23	-0.762237776409496
chr3	90335488	90337513	2026	*	liver_cancer_down_32	1
chr17	78484959	78485440	482	*	normal_down_11	1
chr11	41553660	41554460	801	*	brain_cancer_up_6	-1
chr18	53346086	53346127	42	*	liver_cancer_down_13	-0.558119457392465
chr11	118479631	118479719	89	*	normal_down_63	NA
chr4	1036228	1036358	131	*	normal_down_118	NA
chr7	154900456	154900489	34	*	normal_down_58	-0.42857101559639
chr5	1930045	1930451	407	*	normal_down_82	-1
chr14	62373219	62373497	279	*	liver_cancer_down_79	1
chr10	123350480	123350503	24	*	normal_down_117	0.692460070053736
chr4	78359800	78360316	517	*	normal_down_54	0.682592632893991
chr6	166207677	166208010	334	*	normal_down_36	1
chr5	4087307	4087502	196	*	brain_cancer_up_12	-1
chr8	127997038	127997759	722	*	liver_cancer_down_92	1
chr18	46572234	46572671	438	*	normal_down_92	1
chr10	26827342	26828247	906	*	liver_cancer_down_62	-0.546850014191407
chr20	18190210	18190263	54	*	normal_down_16	0.547476798295975
chr20	57405311	57406503	1193	*	liver_cancer_down_26	0.850970514187979
chr16	26825224	26825526	303	*	normal_down_1	-1
chr6	6522472	6522560	89	*	brain_cancer_up_14	1
chr5	115264718	115264803	86	*	normal_down_60	-1
chr20	18190126	18190179	54	*	normal_down_20	0.272726953029633
chr4	3664618	3665341	724	*	normal_down_44	-0.866157697129796
chr3	181834645	181834988	344	*	normal_down_25	-0.615972215309739
chr10	77496746	77497057	312	*	normal_down_99	0.400926670877733
chr9	132338309	132338524	216	*	normal_down_19	0.492540809684075
chr11	1401170	1401597	428	*	liver_cancer_down_57	-0.242738310976865
chr2	238121345	238121935	591	*	normal_down_90	-0.975970626808703
chr22	16336797	16337015	219	*	liver_cancer_down_81	-1
chr19	41938222	41938438	217	*	normal_down_108	-0.574394398246493
chr11	131550844	131551854	1011	*	normal_down_13	-0.669263963796655
chr17	70408666	70408774	109	*	liver_cancer_down_30	0.600000023841858
chr2	242966531	242966725	195	*	normal_down_120	NA
chr6	29685554	29685738	185	*	liver_cancer_down_27	1
chr10	132761890	132762496	607	*	liver_cancer_down_34	-1
chr8	142712014	142712183	170	*	normal_down_71	-1
chr6	167800542	167801880	1339	*	normal_down_103	-1
chr2	144962147	144962873	727	*	liver_cancer_down_44	-0.600000023841858
chr8	11217687	11218220	534	*	normal_down_70	0.755857813996052
chr19	55945628	55946171	544	*	normal_down_41	-1
chr10	5412789	5412814	26	*	normal_down_56	NA
chr18	72628647	72628734	88	*	brain_cancer_up_19	-1
chr18	76395464	76396871	1408	*	normal_down_32	0.0680628272251309
chr6	125711210	125711341	132	*	liver_cancer_down_9	-0.706453928893263
chr1	7540280	7540721	442	*	brain_cancer_up_15	-0.522777038349953
chr12	130527517	130527590	74	*	normal_down_17	1
chr19	34881886	34882403	518	*	liver_cancer_down_103	-1
chr18	66221586	66221655	70	*	liver_cancer_down_53	-0.463397680861609
chr9	134391033	134391379	347	*	normal_down_35	NA
chr17	25538032	25538304	273	*	liver_cancer_down_37	1
chr18	76722866	76723713	848	*	normal_down_98	1
chr19	48571096	48572086	991	*	liver_cancer_down_45	-0.600000023841858
chr2	95991286	95992068	783	*	normal_down_122	0.97367413626068
chr22	47787945	47788001	57	*	brain_cancer_up_11	0.600000023841858
chr10	7755889	7756617	729	*	liver_cancer_up_10	0.19351055178341
chr10	71830396	71830855	460	*	brain_cancer_up_9	0.843137259117695
chr5	1620334	1621027	694	*	normal_down_66	1
chr11	42177206	42177804	599	*	liver_cancer_down_68	-1
chr10	82417014	82418528	1515	*	normal_down_40	-0.679344726806013
chr19	46461721	46461893	173	*	normal_down_26	-1
chr13	114907408	114907709	302	*	normal_down_65	1
chr10	81136223	81137457	1235	*	normal_down_10	-0.767548502068528
chr2	242806500	242808044	1545	*	normal_down_72	-1
chr11	134609795	134610515	721	*	normal_down_95	-1
chr17	38884681	38884722	42	*	liver_cancer_down_38	0.406204601838475
chr10	86361591	86361900	310	*	liver_cancer_down_69	0.292948722839355
chr17	7078766	7079262	497	*	normal_down_50	1
chr3	194072839	194073560	722	*	normal_down_24	-0.910305436140572
chr12	54605815	54605979	165	*	normal_down_27	1
chr15	26049020	26049546	527	*	normal_down_121	-0.765034975288631
chr12	108757247	108757827	581	*	normal_down_21	-1
chr2	133027566	133027627	62	*	liver_cancer_down_59	-0.857613162648293
chr4	190283589	190283806	218	*	normal_down_30	1
