seqnames	start	end	width	strand	name	score
chr19	1194462	1194761	300	*	normal_down_112	0.928813993930817
chr13	28503235	28503534	300	*	liver_cancer_up_42	0
chr1	147774724	147775138	415	*	liver_cancer_up_20	0.142119731601462
chr6	29521411	29521710	300	*	liver_cancer_up_52	0
chr4	7454571	7454870	300	*	brain_cancer_up_39	2.14710926135381
chr8	53852213	53852627	415	*	liver_cancer_up_25	0
chr10	35295004	35295303	300	*	liver_cancer_up_56	0.239943615098794
chr18	60618600	60618899	300	*	normal_down_70	0.928813993930817
chr11	69478996	69479295	300	*	liver_cancer_up_8	0.215175241927306
chr8	144358350	144358649	300	*	liver_cancer_up_27	0
chr4	988556	988855	300	*	normal_down_36	1.39322102069855
chr14	46326606	46326905	300	*	liver_cancer_up_28	0
chr2	204068233	204068532	300	*	liver_cancer_up_18	0.928813993930817
chr19	48983563	48983862	300	*	liver_cancer_up_23	0
chr1	160951915	160952299	385	*	liver_cancer_up_44	0
chr7	129418295	129418594	300	*	liver_cancer_up_69	0
chr2	89852611	89852910	300	*	liver_cancer_down_139	33.054952398936
chr11	69517700	69518273	574	*	liver_cancer_up_21	0
chr1	26659124	26659423	300	*	liver_cancer_down_164	1.07123214880625
chr10	35330496	35330795	300	*	liver_cancer_up_32	0.171830588877201
chr20	18190210	18190509	300	*	normal_down_81	5.66112326939901
chr1	161035722	161036021	300	*	liver_cancer_up_60	0.971384656826655
chr11	131550844	131551743	900	*	normal_down_60	7.46766699499554
chr19	835434	835733	300	*	normal_up_112	0.0247683731714884
chr1	145969148	145969447	300	*	brain_cancer_up_13	0
chr8	2129864	2130163	300	*	liver_cancer_down_179	2.61770843625069
chr11	69650079	69650455	377	*	liver_cancer_up_65	0.0320280687562351
chr9	134391333	134391632	300	*	normal_down_44	2.30500754475594
chr19	433635	433934	300	*	normal_down_104	7.26023142814636
chr5	46383346	46383645	300	*	liver_cancer_down_189	0
chr11	103280915	103281514	600	*	brain_cancer_up_3	0.246135708391666
chr16	87196263	87196862	600	*	normal_down_33	2.95517746945222
chr7	63386705	63387004	300	*	liver_cancer_up_64	0.413322227299213
chr5	115264476	115264775	300	*	normal_down_118	1.19120403329531
chr1	76002602	76002901	300	*	liver_cancer_down_37	2.0077868724366
chr6	1927220	1927519	300	*	normal_down_69	8.74014240423838
chr13	61551933	61552232	300	*	normal_down_103	0
chr5	162486769	162487068	300	*	brain_cancer_up_31	1.39322102069855
chr9	2823955	2824254	300	*	liver_cancer_up_1	0.204339171598355
chr13	37574137	37574436	300	*	normal_down_82	0.457440893650055
chr1	147752954	147753553	600	*	liver_cancer_up_14	0.000774011661609014
chr4	2771680	2772060	381	*	liver_cancer_up_15	0.60945800126694
chr10	35199876	35200175	300	*	liver_cancer_down_2	1.38393288016319
chr5	68427903	68428202	300	*	normal_down_31	1.82821643988291
chr10	42542408	42542707	300	*	liver_cancer_down_187	17.2039622179667
chr5	62006249	62006548	300	*	liver_cancer_up_29	0.633141539196173
chr1	25161244	25161621	378	*	liver_cancer_down_50	0.174459846167968
chr11	69464605	69464904	300	*	liver_cancer_up_11	0.387005830804507
chr14	77735923	77736222	300	*	liver_cancer_down_122	0.130033959150314
chr9	69703231	69703530	300	*	liver_cancer_down_123	0.546452233095964
chr10	61365646	61365945	300	*	liver_cancer_down_136	1.61381478915612
chr7	27182735	27183034	300	*	brain_cancer_down_45	0
chr6	1625273	1625572	300	*	liver_cancer_up_66	0
chr19	30386536	30386835	300	*	liver_cancer_up_41	1.33517058392366
chr14	50053157	50053756	600	*	liver_cancer_down_1	0
chr2	109816026	109816325	300	*	normal_down_42	49.1242132659753
chr2	10676231	10676640	410	*	liver_cancer_down_46	0.936743029370541
chr4	186198959	186199258	300	*	liver_cancer_down_141	2.05732366859913
chr19	431535	433034	1500	*	normal_down_45	11.6265873743693
chr10	79333224	79333523	300	*	liver_cancer_up_3	0.553418345848719
