seqnames	start	end	width	strand	name	score
chr19	1194462	1194761	300	*	normal_down_112	0.0103564536571503
chr13	28503235	28503534	300	*	liver_cancer_up_42	0
chr1	147774724	147775138	415	*	liver_cancer_up_20	0.17192402259413
chr6	29521411	29521710	300	*	liver_cancer_up_52	0
chr4	7454571	7454870	300	*	brain_cancer_up_39	1.79906131545703
chr8	53852213	53852627	415	*	liver_cancer_up_25	0
chr10	35295004	35295303	300	*	liver_cancer_up_56	0.333440671563148
chr18	60618600	60618899	300	*	normal_down_70	0.0662073287367821
chr11	69478996	69479295	300	*	liver_cancer_up_8	0.324748421708743
chr8	144358350	144358649	300	*	liver_cancer_up_27	0
chr4	988556	988855	300	*	normal_down_36	0.109297573367755
chr14	46326606	46326905	300	*	liver_cancer_up_28	0
chr2	204068233	204068532	300	*	liver_cancer_up_18	0
chr19	48983563	48983862	300	*	liver_cancer_up_23	0.0284802475571632
chr1	160951915	160952299	385	*	liver_cancer_up_44	0.0172927797614754
chr7	129418295	129418594	300	*	liver_cancer_up_69	0.0712006188929081
chr2	89852611	89852910	300	*	liver_cancer_down_139	61.5825276311239
chr11	69517700	69518273	574	*	liver_cancer_up_21	0
chr1	26659124	26659423	300	*	liver_cancer_down_164	0.380229407946269
chr10	35330496	35330795	300	*	liver_cancer_up_32	0.314022068977356
chr20	18190210	18190509	300	*	normal_down_81	1.39904397547245
chr1	161035722	161036021	300	*	liver_cancer_up_60	0.28110374212265
chr11	131550844	131551743	900	*	normal_down_60	0.267664846297767
chr19	835434	835733	300	*	normal_up_112	0
chr1	145969148	145969447	300	*	brain_cancer_up_13	0
chr8	2129864	2130163	300	*	liver_cancer_down_179	2.02375910043716
chr11	69650079	69650455	377	*	liver_cancer_up_65	0
chr9	134391333	134391632	300	*	normal_down_44	0.767855898340543
chr19	433635	433934	300	*	normal_down_104	5.31174330711365
chr5	46383346	46383645	300	*	liver_cancer_down_189	2.72392816305161
chr11	103280915	103281514	600	*	brain_cancer_up_3	0.103841941356659
chr16	87196263	87196862	600	*	normal_down_33	1.44287372469902
chr7	63386705	63387004	300	*	liver_cancer_up_64	0.223588436742624
chr5	115264476	115264775	300	*	normal_down_118	0.746218416492144
chr1	76002602	76002901	300	*	liver_cancer_down_37	3.90918574998776
chr6	1927220	1927519	300	*	normal_down_69	4.44124782582124
chr13	61551933	61552232	300	*	normal_down_103	0.000739746689796448
chr5	162486769	162487068	300	*	brain_cancer_up_31	0.176799458861351
chr9	2823955	2824254	300	*	liver_cancer_up_1	0.0536316350102425
chr13	37574137	37574436	300	*	normal_down_82	0.0110962003469467
chr1	147752954	147753553	600	*	liver_cancer_up_14	0.0294049309194088
chr4	2771680	2772060	381	*	liver_cancer_up_15	0.0508211800667245
chr10	35199876	35200175	300	*	liver_cancer_down_2	7.06031686782837
chr5	68427903	68428202	300	*	normal_down_31	0.0608441652357578
chr10	42542408	42542707	300	*	liver_cancer_down_187	22.2086430295308
chr5	62006249	62006548	300	*	liver_cancer_up_29	0
chr1	25161244	25161621	378	*	liver_cancer_down_50	0.326133853622845
chr11	69464605	69464904	300	*	liver_cancer_up_11	0.220444442480803
chr14	77735923	77736222	300	*	liver_cancer_down_122	0.169956704030434
chr9	69703231	69703530	300	*	liver_cancer_down_123	6.24382271448771
chr10	61365646	61365945	300	*	liver_cancer_down_136	1.04267159312963
chr7	27182735	27183034	300	*	brain_cancer_down_45	0.00332886010408401
chr6	1625273	1625572	300	*	liver_cancer_up_66	0
chr19	30386536	30386835	300	*	liver_cancer_up_41	0.85921445325017
chr14	50053157	50053756	600	*	liver_cancer_down_1	0.326227778842052
chr2	109816026	109816325	300	*	normal_down_42	16.5856515653928
chr2	10676231	10676640	410	*	liver_cancer_down_46	7.60034496115475
chr4	186198959	186199258	300	*	liver_cancer_down_141	2.40676227023204
chr19	431535	433034	1500	*	normal_down_45	6.02223208491008
chr10	79333224	79333523	300	*	liver_cancer_up_3	0.260205860932668
chr22	24593475	24593774	300	*	liver_cancer_up_16	0.0961670039594173
chr2	240981669	240981968	300	*	liver_cancer_down_153	2.24383350372314
chr3	49723977	49724276	300	*	liver_cancer_up_70	0.0680566954612732
chr20	26312455	26312754	300	*	liver_cancer_down_184	15.0797147687276
chr6	601535	602134	600	*	brain_cancer_up_37	2.01201564947764
chr5	80039381	80039680	300	*	liver_cancer_down_36	3.81079954922199
chr10	823521	823820	300	*	liver_cancer_down_98	2.70487989346186
chr2	131881185	131881484	300	*	liver_cancer_down_54	0
chr6	134995934	134996233	300	*	brain_cancer_up_17	0
chr2	87645236	87645535	300	*	liver_cancer_up_55	0.343981561809778
chr18	20798272	20798571	300	*	liver_cancer_down_116	3.55188856800397
chr10	134824482	134824781	300	*	normal_down_85	3.74144827922185
chr11	77907332	77907709	378	*	normal_up_85	0.0240711224457574
chr2	233764717	233765500	784	*	normal_down_38	2.01967533160837
chr21	9827129	9827584	456	*	brain_cancer_up_26	12.3659186742285
chr12	132813407	132813970	564	*	normal_down_22	0.580188598246016
chr18	72627724	72628023	300	*	normal_down_100	1.93942810694377
chr1	16974552	16974926	375	*	liver_cancer_up_33	0.0974986137151718
chr10	133765874	133766352	479	*	liver_cancer_down_64	1.02147427742566
chr6	29685554	29685853	300	*	liver_cancer_down_142	0.898421189785004
chr2	230049402	230049701	300	*	normal_down_49	0.461231494148572
chr12	63244486	63244785	300	*	brain_cancer_up_18	0.0589947985112667
chr10	134387072	134387371	300	*	normal_down_106	2.97951049009959
chr17	19530990	19531352	363	*	normal_up_91	0.0620531090855927
chr11	69462582	69463082	501	*	liver_cancer_up_35	0.395232365933245
chr12	75347200	75347499	300	*	brain_cancer_up_16	0
chr10	35501470	35501769	300	*	liver_cancer_up_68	1.03360954890649
chr12	127650489	127650982	494	*	brain_cancer_up_1	0.211366604576227
chr3	166735369	166735668	300	*	brain_cancer_up_34	1.19727821131547
chr19	50155132	50155431	300	*	normal_up_100	0
chr12	133159856	133160155	300	*	normal_up_70	0
chr10	7755889	7756188	300	*	liver_cancer_up_31	0.988115142186483
chr11	69465933	69466353	421	*	liver_cancer_up_12	0.471785575823942
chr1	156616535	156616834	300	*	liver_cancer_up_59	0.0425354346632957
chr19	7532280	7532579	300	*	brain_cancer_down_49	0.0639879961808523
chr14	61192448	61192747	300	*	normal_down_56	0.265569034318129
chr1	102695616	102696011	396	*	liver_cancer_down_40	5.82199421163761
chr10	5411929	5413034	1106	*	normal_down_12	1.04460648268084
chr17	8199264	8199563	300	*	liver_cancer_up_7	0.281843488812447
chr4	9256799	9257098	300	*	normal_down_86	4.14183571815491
chr14	50329282	50329581	300	*	brain_cancer_up_32	0.165703258514404
chr20	62766477	62766776	300	*	normal_down_53	1.74690919001897
chr22	44230302	44230853	552	*	normal_up_106	0
chr10	135478947	135479246	300	*	normal_up_110	0.59531023239096
chr17	81153421	81153720	300	*	brain_cancer_down_36	0.0932080829143524
chr21	45830362	45830661	300	*	normal_down_116	0.921538147330284
chr7	64029866	64030165	300	*	liver_cancer_up_53	0
chr7	6693256	6693555	300	*	normal_up_103	0
chr1	149224070	149224369	300	*	brain_cancer_up_22	0
chr6	106983610	106983909	300	*	liver_cancer_down_74	3.19884492446979
chr16	21530186	21530485	300	*	normal_down_117	0
chr15	21359962	21360261	300	*	normal_up_49	0.0122058068712552
chr4	187882583	187882882	300	*	brain_cancer_up_36	1.96236013650894
chr2	185918218	185918517	300	*	liver_cancer_down_28	6.00285070021947
chr2	217092134	217092569	436	*	liver_cancer_down_31	0.44181139732993
chr15	65438064	65438363	300	*	liver_cancer_down_146	2.42876976331075
chr4	187886732	187887031	300	*	liver_cancer_down_185	4.69553525765737
chr11	11268517	11268816	300	*	normal_down_59	1.48374477873246
chr14	102973580	102973879	300	*	normal_up_59	0
chr1	161439726	161440025	300	*	brain_cancer_down_59	0
chr2	91750677	91751014	338	*	normal_up_27	0.0367684355501593
chr9	79186659	79187094	436	*	brain_cancer_up_4	0.451864009193324
chr10	35502059	35502358	300	*	liver_cancer_up_63	0.479724748035272
