seqnames	start	end	width	strand	name	score
chr11	67032816	67033358	543	*	liver_cancer_up_20	NA
chr4	84127329	84128515	1187	*	brain_cancer_down_1	1
chr6	169309818	169309887	70	*	normal_down_112	0.211640295607072
chr10	132905503	132906176	674	*	brain_cancer_down_2	NA
chr7	129790562	129790838	277	*	liver_cancer_up_7	NA
chr10	48359282	48359429	148	*	liver_cancer_down_42	NA
chr17	38325034	38325142	109	*	liver_cancer_up_8	1
chr21	44328289	44328970	682	*	normal_down_31	-0.286231892588346
chr7	55810138	55810197	60	*	liver_cancer_up_5	-1
chr2	2478526	2478581	56	*	liver_cancer_down_70	1
chr5	5533013	5533066	54	*	liver_cancer_down_29	NA
chr5	171254346	171254401	56	*	normal_down_86	NA
chr16	89253462	89253573	112	*	liver_cancer_up_16	1
chr12	127650489	127650679	191	*	liver_cancer_down_60	NA
chr20	60329784	60329983	200	*	brain_cancer_up_7	NA
chr4	104455963	104456273	311	*	liver_cancer_down_78	-1
chr18	72838280	72839024	745	*	normal_down_87	-1
chr8	145621992	145622370	379	*	liver_cancer_up_13	-0.705426356589147
chr6	100940347	100940423	77	*	normal_up_2	-1
chr5	1972442	1972714	273	*	liver_cancer_down_54	-1
chr9	79186690	79186732	43	*	liver_cancer_down_104	NA
chr12	130861116	130861522	407	*	liver_cancer_down_80	1
chr11	70552073	70552180	108	*	normal_up_4	1
chr10	134537000	134537403	404	*	brain_cancer_up_8	-0.507246373140294
chr4	7454271	7454605	335	*	normal_down_4	NA
chr6	167907381	167907554	174	*	normal_down_34	NA
chr19	54349467	54350136	670	*	liver_cancer_down_50	-0.682926833993051
chr4	182772716	182772799	84	*	normal_down_97	0.333333343267441
chr15	26585397	26585664	268	*	liver_cancer_down_77	-1
chr2	551548	551752	205	*	normal_up_6	NA
chr5	162352077	162352578	502	*	liver_cancer_down_87	-1
chr3	13142623	13143148	526	*	liver_cancer_down_108	-0.319000002145767
chr15	68834051	68834393	343	*	liver_cancer_down_94	1
chr21	42457362	42458017	656	*	liver_cancer_down_85	NA
chr21	39133373	39134124	752	*	brain_cancer_up_18	NA
chr2	207037485	207037692	208	*	liver_cancer_down_18	-1
chr14	78599599	78599637	39	*	liver_cancer_down_64	1
chr21	45789393	45789914	522	*	liver_cancer_up_4	-1
chr20	24188565	24188682	118	*	normal_down_7	NA
chr8	101139073	101139308	236	*	liver_cancer_down_22	0.816423704054045
chr1	116248770	116249071	302	*	normal_down_100	NA
chr10	99600537	99600912	376	*	liver_cancer_down_90	0.930797100876984
chr4	56508220	56508869	650	*	liver_cancer_down_31	-1
chr3	133775413	133775797	385	*	normal_down_15	NA
chr14	98724013	98724302	290	*	liver_cancer_down_98	1
chr2	154849974	154850164	191	*	liver_cancer_down_82	-1
chr16	32351392	32351631	240	*	liver_cancer_up_3	NA
chr11	126733331	126733510	180	*	normal_down_9	0.472094200311169
chr17	72510371	72511515	1145	*	liver_cancer_up_18	-1
chr17	4365160	4366649	1490	*	normal_up_1	1
chr6	150376355	150376445	91	*	normal_down_102	NA
chr19	13633988	13634111	124	*	liver_cancer_down_88	1
chr3	194003478	194003565	88	*	brain_cancer_up_3	NA
chr5	177721238	177722055	818	*	brain_cancer_up_13	NA
chr8	57223004	57223255	252	*	liver_cancer_down_102	-0.333333343267441
chr22	41962885	41962926	42	*	liver_cancer_down_107	-0.392856873217083
chr21	44083081	44083458	378	*	normal_down_67	1
chr5	120033246	120033346	101	*	liver_cancer_down_7	-1
chr20	24189111	24189367	257	*	normal_down_46	NA
chr15	73628698	73629333	636	*	liver_cancer_down_43	1
chr22	42140658	42140724	67	*	liver_cancer_down_6	0.74207143107457
chr3	85742105	85742679	575	*	liver_cancer_down_74	-0.693757769320341
chr11	133611151	133611190	40	*	normal_down_78	NA
