seqnames	start	end	width	strand	name	score
chr11	67032816	67033358	543	*	liver_cancer_up_20	NA
chr4	84127329	84128515	1187	*	brain_cancer_down_1	NA
chr6	169309818	169309887	70	*	normal_down_112	NA
chr10	132905503	132906176	674	*	brain_cancer_down_2	-0.849329204161962
chr7	129790562	129790838	277	*	liver_cancer_up_7	-0.407544384209009
chr10	48359282	48359429	148	*	liver_cancer_down_42	-0.696064712630736
chr17	38325034	38325142	109	*	liver_cancer_up_8	NA
chr21	44328289	44328970	682	*	normal_down_31	-0.695305217959223
chr7	55810138	55810197	60	*	liver_cancer_up_5	NA
chr2	2478526	2478581	56	*	liver_cancer_down_70	NA
chr5	5533013	5533066	54	*	liver_cancer_down_29	NA
chr5	171254346	171254401	56	*	normal_down_86	0.12524657524549
chr16	89253462	89253573	112	*	liver_cancer_up_16	NA
chr12	127650489	127650679	191	*	liver_cancer_down_60	NA
chr20	60329784	60329983	200	*	brain_cancer_up_7	NA
chr4	104455963	104456273	311	*	liver_cancer_down_78	-0.666666686534882
chr18	72838280	72839024	745	*	normal_down_87	NA
chr8	145621992	145622370	379	*	liver_cancer_up_13	NA
chr6	100940347	100940423	77	*	normal_up_2	NA
chr5	1972442	1972714	273	*	liver_cancer_down_54	NA
chr9	79186690	79186732	43	*	liver_cancer_down_104	NA
chr12	130861116	130861522	407	*	liver_cancer_down_80	NA
chr11	70552073	70552180	108	*	normal_up_4	0.717851976178727
chr10	134537000	134537403	404	*	brain_cancer_up_8	NA
chr4	7454271	7454605	335	*	normal_down_4	NA
chr6	167907381	167907554	174	*	normal_down_34	NA
chr19	54349467	54350136	670	*	liver_cancer_down_50	-0.420565319175904
chr4	182772716	182772799	84	*	normal_down_97	NA
chr15	26585397	26585664	268	*	liver_cancer_down_77	-0.864301809724772
chr2	551548	551752	205	*	normal_up_6	NA
chr5	162352077	162352578	502	*	liver_cancer_down_87	-0.950343082488423
chr3	13142623	13143148	526	*	liver_cancer_down_108	-0.5
chr15	68834051	68834393	343	*	liver_cancer_down_94	0.544354572892189
chr21	42457362	42458017	656	*	liver_cancer_down_85	-1
chr21	39133373	39134124	752	*	brain_cancer_up_18	NA
chr2	207037485	207037692	208	*	liver_cancer_down_18	NA
chr14	78599599	78599637	39	*	liver_cancer_down_64	0.548909677144809
chr21	45789393	45789914	522	*	liver_cancer_up_4	NA
chr20	24188565	24188682	118	*	normal_down_7	NA
chr8	101139073	101139308	236	*	liver_cancer_down_22	0.289912834458532
chr1	116248770	116249071	302	*	normal_down_100	NA
chr10	99600537	99600912	376	*	liver_cancer_down_90	NA
chr4	56508220	56508869	650	*	liver_cancer_down_31	-0.687499993170301
chr3	133775413	133775797	385	*	normal_down_15	NA
chr14	98724013	98724302	290	*	liver_cancer_down_98	0.863653381355107
chr2	154849974	154850164	191	*	liver_cancer_down_82	NA
chr16	32351392	32351631	240	*	liver_cancer_up_3	NA
chr11	126733331	126733510	180	*	normal_down_9	NA
chr17	72510371	72511515	1145	*	liver_cancer_up_18	-1
chr17	4365160	4366649	1490	*	normal_up_1	NA
chr6	150376355	150376445	91	*	normal_down_102	NA
chr19	13633988	13634111	124	*	liver_cancer_down_88	NA
chr3	194003478	194003565	88	*	brain_cancer_up_3	NA
chr5	177721238	177722055	818	*	brain_cancer_up_13	NA
chr8	57223004	57223255	252	*	liver_cancer_down_102	NA
chr22	41962885	41962926	42	*	liver_cancer_down_107	-0.283600788031306
chr21	44083081	44083458	378	*	normal_down_67	0.666666686534882
chr5	120033246	120033346	101	*	liver_cancer_down_7	NA
chr20	24189111	24189367	257	*	normal_down_46	-0.558272182124935
chr15	73628698	73629333	636	*	liver_cancer_down_43	NA
chr22	42140658	42140724	67	*	liver_cancer_down_6	0.418883870842297
chr3	85742105	85742679	575	*	liver_cancer_down_74	-0.567068179957887
chr11	133611151	133611190	40	*	normal_down_78	NA
chr1	5869079	5869256	178	*	normal_down_43	NA
chr4	185397287	185397514	228	*	normal_up_3	-1
chr12	132017897	132018242	346	*	liver_cancer_down_93	0.642307708660761
chr11	69410425	69410647	223	*	normal_down_51	NA
chr7	130418037	130418101	65	*	liver_cancer_up_15	NA
chr22	26723388	26723683	296	*	normal_down_38	NA
chr4	3588046	3588284	239	*	normal_down_80	NA
chr2	130888117	130888531	415	*	liver_cancer_down_61	NA
chr22	40014071	40014370	300	*	liver_cancer_up_14	NA
chr7	153097820	153098427	608	*	liver_cancer_down_91	0.891170904040337
chr9	79186734	79186788	55	*	brain_cancer_up_20	NA
chr2	90480857	90481090	234	*	liver_cancer_up_19	NA
chr2	217092270	217092474	205	*	liver_cancer_down_4	NA
chr2	5649462	5650301	840	*	normal_down_119	NA
chr20	46462454	46462941	488	*	normal_down_83	NA
chr10	5411929	5412054	126	*	normal_down_6	NA
chr9	79186795	79186844	50	*	liver_cancer_up_21	NA
chr2	71771003	71771097	95	*	liver_cancer_down_71	NA
chr9	79186861	79186936	76	*	liver_cancer_up_6	NA
chr5	1972753	1972909	157	*	liver_cancer_down_86	NA
chr15	66645870	66646425	556	*	liver_cancer_up_1	-0.215380974923787
chr12	132640508	132641180	673	*	normal_down_47	NA
chr7	154900331	154900407	77	*	normal_down_111	NA
chr9	139932950	139933208	259	*	liver_cancer_up_17	0.0304150172399686
chr4	111154925	111155360	436	*	normal_down_74	NA
chr19	50968480	50968651	172	*	liver_cancer_down_35	NA
chr22	25295520	25296032	513	*	liver_cancer_down_109	0.233236322192837
chr5	536790	537274	485	*	normal_down_69	NA
chr4	183880454	183881804	1351	*	normal_down_2	NA
chr3	182894517	182894667	151	*	normal_up_5	0.916804040427757
chr21	46896539	46897182	644	*	normal_down_110	NA
chr7	155639624	155639820	197	*	normal_down_73	NA
chr5	115264476	115264691	216	*	normal_down_109	NA
chr20	24789301	24789523	223	*	liver_cancer_down_12	-1
chr2	129543895	129544044	150	*	liver_cancer_down_58	NA
chr16	26825105	26825173	69	*	normal_down_5	NA
chr10	120573219	120573836	618	*	liver_cancer_down_73	NA
chr1	30298212	30298367	156	*	normal_down_105	NA
chr2	1601442	1601661	220	*	normal_down_12	NA
chr3	178659146	178659907	762	*	liver_cancer_down_52	NA
chr17	78328252	78329447	1196	*	liver_cancer_down_75	-0.894649498986604
chr9	130686701	130687245	545	*	brain_cancer_up_10	1
chr8	15507041	15507088	48	*	liver_cancer_down_48	-0.57835786541303
chr10	135132874	135133121	248	*	liver_cancer_up_9	NA
chr9	44742017	44742530	514	*	normal_down_106	NA
chr18	75894449	75894716	268	*	normal_down_49	NA
chr20	51624181	51624257	77	*	brain_cancer_up_5	NA
chr12	50272748	50273359	612	*	normal_down_114	NA
chr2	240564270	240565818	1549	*	normal_down_57	NA
chr7	61610839	61611660	822	*	liver_cancer_down_56	-0.375485572764931
chr13	111033131	111033313	183	*	normal_down_79	NA
chr6	109712351	109712486	136	*	liver_cancer_down_105	-0.166666701436043
chr5	78917303	78918066	764	*	brain_cancer_up_17	NA
chr22	41142390	41142511	122	*	liver_cancer_down_1	NA
chr22	24593475	24593540	66	*	liver_cancer_up_2	NA
chr10	29984748	29984887	140	*	liver_cancer_down_51	NA
chr9	129348189	129348596	408	*	liver_cancer_down_101	NA
chr22	36029779	36029846	68	*	normal_down_89	NA
chr2	728445	728916	472	*	normal_down_64	NA
chr10	13350821	13350886	66	*	liver_cancer_down_10	-0.615150312582652
chr12	131248474	131249197	724	*	normal_down_84	NA
chr11	1141700	1142402	703	*	normal_down_3	NA
chr20	25498760	25498802	43	*	normal_down_81	NA
chr11	68478606	68478806	201	*	normal_down_23	NA
chr3	90335488	90337513	2026	*	liver_cancer_down_32	0.938792949499086
chr17	78484959	78485440	482	*	normal_down_11	NA
chr11	41553660	41554460	801	*	brain_cancer_up_6	NA
chr18	53346086	53346127	42	*	liver_cancer_down_13	-0.651326943011511
chr11	118479631	118479719	89	*	normal_down_63	NA
chr4	1036228	1036358	131	*	normal_down_118	NA
chr7	154900456	154900489	34	*	normal_down_58	-0.5
chr5	1930045	1930451	407	*	normal_down_82	NA
chr14	62373219	62373497	279	*	liver_cancer_down_79	0.873675525188446
chr10	123350480	123350503	24	*	normal_down_117	NA
chr4	78359800	78360316	517	*	normal_down_54	NA
chr6	166207677	166208010	334	*	normal_down_36	NA
chr5	4087307	4087502	196	*	brain_cancer_up_12	NA
chr8	127997038	127997759	722	*	liver_cancer_down_92	0.940476183380399
chr18	46572234	46572671	438	*	normal_down_92	NA
chr10	26827342	26828247	906	*	liver_cancer_down_62	-0.834227769873863
chr20	18190210	18190263	54	*	normal_down_16	NA
chr20	57405311	57406503	1193	*	liver_cancer_down_26	NA
chr16	26825224	26825526	303	*	normal_down_1	NA
chr6	6522472	6522560	89	*	brain_cancer_up_14	NA
chr5	115264718	115264803	86	*	normal_down_60	NA
chr20	18190126	18190179	54	*	normal_down_20	NA
chr4	3664618	3665341	724	*	normal_down_44	NA
chr3	181834645	181834988	344	*	normal_down_25	NA
chr10	77496746	77497057	312	*	normal_down_99	NA
chr9	132338309	132338524	216	*	normal_down_19	NA
chr11	1401170	1401597	428	*	liver_cancer_down_57	-0.678186403782987
chr2	238121345	238121935	591	*	normal_down_90	NA
chr22	16336797	16337015	219	*	liver_cancer_down_81	NA
chr19	41938222	41938438	217	*	normal_down_108	NA
chr11	131550844	131551854	1011	*	normal_down_13	NA
chr17	70408666	70408774	109	*	liver_cancer_down_30	0.835037130448553
chr2	242966531	242966725	195	*	normal_down_120	NA
chr6	29685554	29685738	185	*	liver_cancer_down_27	NA
chr10	132761890	132762496	607	*	liver_cancer_down_34	-1
chr8	142712014	142712183	170	*	normal_down_71	NA
chr6	167800542	167801880	1339	*	normal_down_103	NA
chr2	144962147	144962873	727	*	liver_cancer_down_44	-1
chr8	11217687	11218220	534	*	normal_down_70	NA
chr19	55945628	55946171	544	*	normal_down_41	NA
chr10	5412789	5412814	26	*	normal_down_56	NA
chr18	72628647	72628734	88	*	brain_cancer_up_19	NA
chr18	76395464	76396871	1408	*	normal_down_32	NA
chr6	125711210	125711341	132	*	liver_cancer_down_9	NA
chr1	7540280	7540721	442	*	brain_cancer_up_15	NA
chr12	130527517	130527590	74	*	normal_down_17	NA
chr19	34881886	34882403	518	*	liver_cancer_down_103	-0.785271158116929
chr18	66221586	66221655	70	*	liver_cancer_down_53	-0.39855839636709
chr9	134391033	134391379	347	*	normal_down_35	NA
chr17	25538032	25538304	273	*	liver_cancer_down_37	0.772891873405093
chr18	76722866	76723713	848	*	normal_down_98	-0.833333313465118
chr19	48571096	48572086	991	*	liver_cancer_down_45	-0.740169840978413
chr2	95991286	95992068	783	*	normal_down_122	0.833333313465118
chr22	47787945	47788001	57	*	brain_cancer_up_11	NA
chr10	7755889	7756617	729	*	liver_cancer_up_10	0.00885776448278473
chr10	71830396	71830855	460	*	brain_cancer_up_9	NA
chr5	1620334	1621027	694	*	normal_down_66	NA
chr11	42177206	42177804	599	*	liver_cancer_down_68	-0.774666655063629
chr10	82417014	82418528	1515	*	normal_down_40	NA
chr19	46461721	46461893	173	*	normal_down_26	NA
chr13	114907408	114907709	302	*	normal_down_65	NA
chr10	81136223	81137457	1235	*	normal_down_10	NA
chr2	242806500	242808044	1545	*	normal_down_72	NA
chr11	134609795	134610515	721	*	normal_down_95	NA
chr17	38884681	38884722	42	*	liver_cancer_down_38	0.131329650414132
chr10	86361591	86361900	310	*	liver_cancer_down_69	NA
chr17	7078766	7079262	497	*	normal_down_50	NA
chr3	194072839	194073560	722	*	normal_down_24	NA
chr12	54605815	54605979	165	*	normal_down_27	NA
chr15	26049020	26049546	527	*	normal_down_121	0.405436006685098
chr12	108757247	108757827	581	*	normal_down_21	NA
chr2	133027566	133027627	62	*	liver_cancer_down_59	-0.74677748257114
chr4	190283589	190283806	218	*	normal_down_30	NA
