seqnames	start	end	width	strand	name	score
chr19	1194462	1194761	300	*	normal_down_112	0.158063854525487
chr13	28503235	28503534	300	*	liver_cancer_up_42	0.164719171474377
chr1	147774724	147775138	415	*	liver_cancer_up_20	0.386861573428993
chr6	29521411	29521710	300	*	liver_cancer_up_52	0.346076007833083
chr4	7454571	7454870	300	*	brain_cancer_up_39	0.703917957941691
chr8	53852213	53852627	415	*	liver_cancer_up_25	0.0436433226229197
chr10	35295004	35295303	300	*	liver_cancer_up_56	0.328724783013264
chr18	60618600	60618899	300	*	normal_down_70	0.217961537440618
chr11	69478996	69479295	300	*	liver_cancer_up_8	0.314225700149934
chr8	144358350	144358649	300	*	liver_cancer_up_27	0.165907626152039
chr4	988556	988855	300	*	normal_down_36	0.36366515253981
chr14	46326606	46326905	300	*	liver_cancer_up_28	0.0988790448506673
chr2	204068233	204068532	300	*	liver_cancer_up_18	0
chr19	48983563	48983862	300	*	liver_cancer_up_23	0.165907622675101
chr1	160951915	160952299	385	*	liver_cancer_up_44	0.0314862077499365
chr7	129418295	129418594	300	*	liver_cancer_up_69	0.143683603505294
chr2	89852611	89852910	300	*	liver_cancer_down_139	64.1410307693481
chr11	69517700	69518273	574	*	liver_cancer_up_21	0.206839877969297
chr1	26659124	26659423	300	*	liver_cancer_down_164	1.23990788976351
chr10	35330496	35330795	300	*	liver_cancer_up_32	0.369963802645604
chr20	18190210	18190509	300	*	normal_down_81	1.24537499109904
chr1	161035722	161036021	300	*	liver_cancer_up_60	0.442696688473225
chr11	131550844	131551743	900	*	normal_down_60	0.902269821266333
chr19	835434	835733	300	*	normal_up_112	0.281662361820539
chr1	145969148	145969447	300	*	brain_cancer_up_13	0.0713070034980774
chr8	2129864	2130163	300	*	liver_cancer_down_179	0.618824948072433
chr11	69650079	69650455	377	*	liver_cancer_up_65	0.177983778738849
chr9	134391333	134391632	300	*	normal_down_44	1.57885367631912
chr19	433635	433934	300	*	normal_down_104	3.33431055784225
chr5	46383346	46383645	300	*	liver_cancer_down_189	3.04112057924271
chr11	103280915	103281514	600	*	brain_cancer_up_3	0.176722496251265
chr16	87196263	87196862	600	*	normal_down_33	1.35114695827166
chr7	63386705	63387004	300	*	liver_cancer_up_64	0.0801015329857667
chr5	115264476	115264775	300	*	normal_down_118	0.772372316519419
chr1	76002602	76002901	300	*	liver_cancer_down_37	2.33066602294644
chr6	1927220	1927519	300	*	normal_down_69	2.30452010273933
chr13	61551933	61552232	300	*	normal_down_103	0
chr5	162486769	162487068	300	*	brain_cancer_up_31	0.04611186226209
chr9	2823955	2824254	300	*	liver_cancer_up_1	0.0202034732947747
chr13	37574137	37574436	300	*	normal_down_82	0
chr1	147752954	147753553	600	*	liver_cancer_up_14	0.180525392194589
chr4	2771680	2772060	381	*	liver_cancer_up_15	0.0701840585610998
chr10	35199876	35200175	300	*	liver_cancer_down_2	3.42035426696142
chr5	68427903	68428202	300	*	normal_down_31	0.0946005770067374
chr10	42542408	42542707	300	*	liver_cancer_down_187	44.5265234247843
chr5	62006249	62006548	300	*	liver_cancer_up_29	0.0911541042973598
chr1	25161244	25161621	378	*	liver_cancer_down_50	0.302016671658272
