seqnames	start	end	width	strand	name	score
chr19	1194462	1194761	300	*	normal_down_112	0.0672528487940629
chr13	28503235	28503534	300	*	liver_cancer_up_42	0
chr1	147774724	147775138	415	*	liver_cancer_up_20	0.0886536490127265
chr6	29521411	29521710	300	*	liver_cancer_up_52	0
chr4	7454571	7454870	300	*	brain_cancer_up_39	0.747297093619903
chr8	53852213	53852627	415	*	liver_cancer_up_25	0
chr10	35295004	35295303	300	*	liver_cancer_up_56	0.113934237957001
chr18	60618600	60618899	300	*	normal_down_70	0.0617143755654494
chr11	69478996	69479295	300	*	liver_cancer_up_8	0.353670773804188
chr8	144358350	144358649	300	*	liver_cancer_up_27	0
chr4	988556	988855	300	*	normal_down_36	0
chr14	46326606	46326905	300	*	liver_cancer_up_28	0
chr2	204068233	204068532	300	*	liver_cancer_up_18	0
chr19	48983563	48983862	300	*	liver_cancer_up_23	0.0363956593473752
chr1	160951915	160952299	385	*	liver_cancer_up_44	0.0887799256807798
chr7	129418295	129418594	300	*	liver_cancer_up_69	0
chr2	89852611	89852910	300	*	liver_cancer_down_139	56.9310662206014
chr11	69517700	69518273	574	*	liver_cancer_up_21	0
chr1	26659124	26659423	300	*	liver_cancer_down_164	0.77261599595348
chr10	35330496	35330795	300	*	liver_cancer_up_32	0.272176235119502
chr20	18190210	18190509	300	*	normal_down_81	0.431209191034238
chr1	161035722	161036021	300	*	liver_cancer_up_60	0.418945454508066
chr11	131550844	131551743	900	*	normal_down_60	0.0627693255411254
chr19	835434	835733	300	*	normal_up_112	0.826022445758184
chr1	145969148	145969447	300	*	brain_cancer_up_13	0
chr8	2129864	2130163	300	*	liver_cancer_down_179	0.730286301126083
chr11	69650079	69650455	377	*	liver_cancer_up_65	0.272621159567757
chr9	134391333	134391632	300	*	normal_down_44	0.565319372316202
chr19	433635	433934	300	*	normal_down_104	6.24343218962351
chr5	46383346	46383645	300	*	liver_cancer_down_189	1.83481403112412
chr11	103280915	103281514	600	*	brain_cancer_up_3	0.158637602155407
chr16	87196263	87196862	600	*	normal_down_33	1.27444031308095
chr7	63386705	63387004	300	*	liver_cancer_up_64	0
chr5	115264476	115264775	300	*	normal_down_118	0.118681497871876
chr1	76002602	76002901	300	*	liver_cancer_down_37	6.64497095098098
chr6	1927220	1927519	300	*	normal_down_69	1.23507761458556
chr13	61551933	61552232	300	*	normal_down_103	0.207692330082258
chr5	162486769	162487068	300	*	brain_cancer_up_31	0
chr9	2823955	2824254	300	*	liver_cancer_up_1	0.0636922524372737
chr13	37574137	37574436	300	*	normal_down_82	0.236571785757939
chr1	147752954	147753553	600	*	liver_cancer_up_14	0
chr4	2771680	2772060	381	*	liver_cancer_up_15	0.0261659995308073
chr10	35199876	35200175	300	*	liver_cancer_down_2	20.5678802299499
chr5	68427903	68428202	300	*	normal_down_31	0.170505723506212
chr10	42542408	42542707	300	*	liver_cancer_down_187	21.9192657438914
chr5	62006249	62006548	300	*	liver_cancer_up_29	0
chr1	25161244	25161621	378	*	liver_cancer_down_50	1.12087976171699
chr11	69464605	69464904	300	*	liver_cancer_up_11	0.394022294183572
chr14	77735923	77736222	300	*	liver_cancer_down_122	1.02659408852458
chr9	69703231	69703530	300	*	liver_cancer_down_123	3.85991458892822
chr10	61365646	61365945	300	*	liver_cancer_down_136	1.68883619979024
chr7	27182735	27183034	300	*	brain_cancer_down_45	1.03371493081252
chr6	1625273	1625572	300	*	liver_cancer_up_66	0
chr19	30386536	30386835	300	*	liver_cancer_up_41	2.11055075595776
chr14	50053157	50053756	600	*	liver_cancer_down_1	0.239934165452917
chr2	109816026	109816325	300	*	normal_down_42	27.1875323448579
chr2	10676231	10676640	410	*	liver_cancer_down_46	4.90819914864331
chr4	186198959	186199258	300	*	liver_cancer_down_141	3.56123289217552
chr19	431535	433034	1500	*	normal_down_45	3.80429236364365
chr10	79333224	79333523	300	*	liver_cancer_up_3	0.0221538796027501
chr22	24593475	24593774	300	*	liver_cancer_up_16	0.203736385007699
chr2	240981669	240981968	300	*	liver_cancer_down_153	6.14017950534821
chr3	49723977	49724276	300	*	liver_cancer_up_70	0
chr20	26312455	26312754	300	*	liver_cancer_down_184	13.8058100732168
chr6	601535	602134	600	*	brain_cancer_up_37	11.8319409879049
chr5	80039381	80039680	300	*	liver_cancer_down_36	6.03217945148547
chr10	823521	823820	300	*	liver_cancer_down_98	5.7528825378418
chr2	131881185	131881484	300	*	liver_cancer_down_54	0.120263901203871
chr6	134995934	134996233	300	*	brain_cancer_up_17	0
chr2	87645236	87645535	300	*	liver_cancer_up_55	5.99894861141841
chr18	20798272	20798571	300	*	liver_cancer_down_116	8.04145531177521
chr10	134824482	134824781	300	*	normal_down_85	0.474725991487503
chr11	77907332	77907709	378	*	normal_up_85	0.716483984477621
chr2	233764717	233765500	784	*	normal_down_38	1.54694525133438
chr21	9827129	9827584	456	*	brain_cancer_up_26	65.2357234217619
chr12	132813407	132813970	564	*	normal_down_22	0.767851813306622
chr18	72627724	72628023	300	*	normal_down_100	2.02351772944132
chr1	16974552	16974926	375	*	liver_cancer_up_33	1.01717858199279
chr10	133765874	133766352	479	*	liver_cancer_down_64	1.28121402321504
chr6	29685554	29685853	300	*	liver_cancer_down_142	2.23991340200106
chr2	230049402	230049701	300	*	normal_down_49	0
chr12	63244486	63244785	300	*	brain_cancer_up_18	0
chr10	134387072	134387371	300	*	normal_down_106	1.89811096886794
chr17	19530990	19531352	363	*	normal_up_91	2.57208389914069
chr11	69462582	69463082	501	*	liver_cancer_up_35	0.587484931725704
chr12	75347200	75347499	300	*	brain_cancer_up_16	0
chr10	35501470	35501769	300	*	liver_cancer_up_68	0.978725884656111
chr12	127650489	127650982	494	*	brain_cancer_up_1	0.0478089222541222
chr3	166735369	166735668	300	*	brain_cancer_up_34	1.1567479511102
chr19	50155132	50155431	300	*	normal_up_100	1.13973676045736
chr12	133159856	133160155	300	*	normal_up_70	0.348923359811306
chr10	7755889	7756188	300	*	liver_cancer_up_31	0.647209306706985
chr11	69465933	69466353	421	*	liver_cancer_up_12	0.818647856914799
chr1	156616535	156616834	300	*	liver_cancer_up_59	0
chr19	7532280	7532579	300	*	brain_cancer_down_49	2.46343006432056
chr14	61192448	61192747	300	*	normal_down_56	0
chr1	102695616	102696011	396	*	liver_cancer_down_40	11.1578487398648
chr10	5411929	5413034	1106	*	normal_down_12	0.398752662833194
chr17	8199264	8199563	300	*	liver_cancer_up_7	0.237362995743752
chr4	9256799	9257098	300	*	normal_down_86	3.70681533137957
chr14	50329282	50329581	300	*	brain_cancer_up_32	0.123428757786751
chr20	62766477	62766776	300	*	normal_down_53	1.26553903122743
chr22	44230302	44230853	552	*	normal_up_106	3.47014058327329
chr10	135478947	135479246	300	*	normal_up_110	4.88927762428919
chr17	81153421	81153720	300	*	brain_cancer_down_36	3.44413379589717
chr21	45830362	45830661	300	*	normal_down_116	1.2334951262176
chr7	64029866	64030165	300	*	liver_cancer_up_53	0.233406945814689
chr7	6693256	6693555	300	*	normal_up_103	0.778549795746803
chr1	149224070	149224369	300	*	brain_cancer_up_22	0
chr6	106983610	106983909	300	*	liver_cancer_down_74	7.85314740886291
chr16	21530186	21530485	300	*	normal_down_117	0.0727912987271945
chr15	21359962	21360261	300	*	normal_up_49	2.46026512742043
chr4	187882583	187882882	300	*	brain_cancer_up_36	1.75055051525434
chr2	185918218	185918517	300	*	liver_cancer_down_28	11.5298969089985
chr2	217092134	217092569	436	*	liver_cancer_down_31	1.12611214488471
chr15	65438064	65438363	300	*	liver_cancer_down_146	5.24413502112031
chr4	187886732	187887031	300	*	liver_cancer_down_185	2.61732039093971
chr11	11268517	11268816	300	*	normal_down_59	0.393626809567213
chr14	102973580	102973879	300	*	normal_up_59	0.814945415953795
chr1	161439726	161440025	300	*	brain_cancer_down_59	0.320439942280451
chr2	91750677	91751014	338	*	normal_up_27	1.7784650618508
chr9	79186659	79187094	436	*	brain_cancer_up_4	0
chr10	35502059	35502358	300	*	liver_cancer_up_63	0.62347287500898
chr20	54463240	54463539	300	*	liver_cancer_down_104	6.0938936607043
chr15	20353347	20353734	388	*	normal_up_9	5.75971796832134
chr14	31943044	31943343	300	*	liver_cancer_down_71	7.97143325477839
chr7	63225296	63225595	300	*	liver_cancer_up_71	1.31657213707765
chr8	145105453	145106374	922	*	liver_cancer_up_30	0
chr4	191003878	191004177	300	*	normal_up_71	9.10325809319814
chr6	10070809	10071108	300	*	liver_cancer_down_152	4.83864028294881
chr22	29163891	29164382	492	*	liver_cancer_down_109	1.6183606253528
chr6	52860193	52860728	536	*	brain_cancer_up_8	0
chr3	192306054	192306353	300	*	liver_cancer_down_47	5.62589326923092
chr7	1786041	1786430	390	*	brain_cancer_down_10	1.19868182922021
chr11	69956099	69956398	300	*	normal_down_27	0.473539024293423
